LSOA11CD,LSOA11NM,crime_sum
E01000006,Barking and Dagenham 016A,113
E01000007,Barking and Dagenham 015A,385
E01000008,Barking and Dagenham 015B,201
E01000009,Barking and Dagenham 016B,247
E01000010,Barking and Dagenham 015C,1298
E01000011,Barking and Dagenham 016C,101
E01000012,Barking and Dagenham 015D,149
E01000013,Barking and Dagenham 013A,317
E01000014,Barking and Dagenham 013B,116
E01000015,Barking and Dagenham 009A,124
E01000016,Barking and Dagenham 009B,120
E01000017,Barking and Dagenham 009C,115
E01000018,Barking and Dagenham 009D,113
E01000019,Barking and Dagenham 023A,94
E01000020,Barking and Dagenham 023B,106
E01000021,Barking and Dagenham 008A,130
E01000022,Barking and Dagenham 008B,53
E01000023,Barking and Dagenham 008C,337
E01000024,Barking and Dagenham 008D,73
E01000025,Barking and Dagenham 008E,108
E01000027,Barking and Dagenham 001A,188
E01000028,Barking and Dagenham 001B,98
E01000029,Barking and Dagenham 001C,95
E01000030,Barking and Dagenham 001D,230
E01000031,Barking and Dagenham 002A,118
E01000032,Barking and Dagenham 002B,190
E01000033,Barking and Dagenham 006A,71
E01000034,Barking and Dagenham 003A,97
E01000035,Barking and Dagenham 010A,231
E01000036,Barking and Dagenham 010B,129
E01000037,Barking and Dagenham 003B,109
E01000038,Barking and Dagenham 003C,88
E01000039,Barking and Dagenham 003D,69
E01000040,Barking and Dagenham 019A,156
E01000041,Barking and Dagenham 017A,75
E01000042,Barking and Dagenham 017B,146
E01000043,Barking and Dagenham 019B,140
E01000044,Barking and Dagenham 016D,111
E01000045,Barking and Dagenham 017C,252
E01000046,Barking and Dagenham 017D,85
E01000048,Barking and Dagenham 021B,55
E01000049,Barking and Dagenham 021C,183
E01000050,Barking and Dagenham 019C,143
E01000051,Barking and Dagenham 021D,65
E01000052,Barking and Dagenham 019D,156
E01000053,Barking and Dagenham 020A,135
E01000054,Barking and Dagenham 018A,117
E01000055,Barking and Dagenham 018B,106
E01000056,Barking and Dagenham 018C,212
E01000057,Barking and Dagenham 012A,116
E01000058,Barking and Dagenham 018D,121
E01000059,Barking and Dagenham 013C,111
E01000060,Barking and Dagenham 006B,250
E01000061,Barking and Dagenham 006C,187
E01000062,Barking and Dagenham 006D,120
E01000063,Barking and Dagenham 004A,80
E01000064,Barking and Dagenham 006E,133
E01000065,Barking and Dagenham 007A,108
E01000066,Barking and Dagenham 011A,137
E01000067,Barking and Dagenham 011B,104
E01000068,Barking and Dagenham 016E,105
E01000069,Barking and Dagenham 011C,81
E01000070,Barking and Dagenham 011D,232
E01000071,Barking and Dagenham 011E,146
E01000072,Barking and Dagenham 017E,219
E01000073,Barking and Dagenham 012B,102
E01000074,Barking and Dagenham 012C,62
E01000075,Barking and Dagenham 012D,181
E01000076,Barking and Dagenham 012E,90
E01000077,Barking and Dagenham 008F,122
E01000078,Barking and Dagenham 007B,111
E01000079,Barking and Dagenham 009E,73
E01000080,Barking and Dagenham 007C,113
E01000081,Barking and Dagenham 007D,105
E01000082,Barking and Dagenham 007E,135
E01000083,Barking and Dagenham 007F,106
E01000084,Barking and Dagenham 013D,193
E01000085,Barking and Dagenham 013E,123
E01000086,Barking and Dagenham 013F,81
E01000087,Barking and Dagenham 020B,182
E01000088,Barking and Dagenham 020C,135
E01000089,Barking and Dagenham 020D,111
E01000090,Barking and Dagenham 020E,135
E01000091,Barking and Dagenham 022A,188
E01000092,Barking and Dagenham 019E,453
E01000093,Barking and Dagenham 022B,184
E01000094,Barking and Dagenham 022C,118
E01000095,Barking and Dagenham 018E,432
E01000096,Barking and Dagenham 022D,178
E01000097,Barking and Dagenham 023C,106
E01000098,Barking and Dagenham 023D,183
E01000099,Barking and Dagenham 023E,124
E01000100,Barking and Dagenham 004B,95
E01000101,Barking and Dagenham 004C,123
E01000102,Barking and Dagenham 007G,85
E01000103,Barking and Dagenham 014A,103
E01000104,Barking and Dagenham 014B,162
E01000105,Barking and Dagenham 014C,350
E01000106,Barking and Dagenham 014D,213
E01000107,Barking and Dagenham 010C,69
E01000108,Barking and Dagenham 010D,152
E01000109,Barking and Dagenham 004D,117
E01000110,Barking and Dagenham 002C,74
E01000111,Barking and Dagenham 002D,200
E01000112,Barking and Dagenham 002E,127
E01000113,Barking and Dagenham 002F,220
E01000114,Barking and Dagenham 004E,208
E01000115,Barnet 009A,67
E01000116,Barnet 009B,90
E01000117,Barnet 010A,110
E01000118,Barnet 010B,88
E01000119,Barnet 009C,73
E01000120,Barnet 009D,69
E01000121,Barnet 010C,72
E01000122,Barnet 009E,45
E01000123,Barnet 010D,125
E01000124,Barnet 010E,328
E01000125,Barnet 024A,275
E01000126,Barnet 026A,131
E01000127,Barnet 024B,105
E01000128,Barnet 024C,108
E01000129,Barnet 024D,321
E01000130,Barnet 021A,107
E01000131,Barnet 024E,124
E01000132,Barnet 021B,82
E01000133,Barnet 021C,103
E01000134,Barnet 024F,65
E01000135,Barnet 038A,111
E01000136,Barnet 038B,85
E01000137,Barnet 041A,104
E01000138,Barnet 040A,114
E01000139,Barnet 041B,84
E01000140,Barnet 041C,133
E01000141,Barnet 039A,566
E01000142,Barnet 040B,108
E01000143,Barnet 041D,113
E01000144,Barnet 038C,192
E01000145,Barnet 037A,91
E01000146,Barnet 038D,428
E01000147,Barnet 030A,52
E01000148,Barnet 030B,240
E01000150,Barnet 036A,155
E01000151,Barnet 026B,239
E01000152,Barnet 026C,137
E01000153,Barnet 026D,150
