FID,LSOA11CD,LSOA11NM,area,Census_Population_All_Ages,Population_Density,house_price,Unemployment_Rate,qualification4,Mean_Household_Income,sumarea,agvarea,count,Greenlandr,greratepre,Arson_and_Criminal_Damage,Burglary,Drug_Offences,Miscellaneous_Crimes_Against_Society,Possession_of_Weapons,Public_Order_Offences,Robbery,Theft,Vehicle_Offences,Violence_Against_the_Person,总计,分组
0,E01000001,City of London 001A,133320.7689,1465,12.98,504999.5,3.53,1047,74846.18,14170.186,2024.312286,7,0.106286411,9.672481911,0,0,0,0,0,0,0,0,0,0,0,2
1,E01000002,City of London 001B,226191.2731,1436,22.84,525000,1.73,1024,73325.39,26890.9229,1792.728193,15,0.118885767,18.72626943,0,0,0,0,0,0,0,0,0,0,0,2
2,E01000003,City of London 001C,57302.96653,1346,5.91,350000,4.74,706,44130.31,4478.2319,4478.2319,1,0.078150088,3.32706679,0,0,0,0,0,0,0,0,0,0,0,2
3,E01000005,City of London 001E,190738.7605,985,18.96,300000,8.68,283,30780.84,20360.8211,2262.313456,9,0.106747161,20.67088437,0,0,0,0,0,0,0,0,0,0,0,1
4,E01000006,Barking and Dagenham 016A,144195.8469,1703,14.66,240500,9.5,431,46141.12,0,0,0,0,0,12,16,14,2,1,4,5,15,26,18,113,1
5,E01000007,Barking and Dagenham 015A,198134.8092,1391,20,212000,11.9,342,30821.83,17320.7981,5773.599367,3,0.087419258,12.45204752,25,10,38,3,7,32,28,99,21,122,385,1
6,E01000008,Barking and Dagenham 015B,193425.0989,1544,19.51,140000,17.96,252,28358.78,13627.6521,4542.5507,3,0.070454415,8.826199547,14,10,18,4,2,9,9,39,33,63,201,1
7,E01000009,Barking and Dagenham 016B,128591.5262,1773,12.79,226500,10.04,511,38261.38,356.6787,356.6787,1,0.002773734,0.20117242,24,14,9,2,2,15,14,43,30,94,247,1
8,E01000010,Barking and Dagenham 015C,348848.3422,2840,35.21,151475,9.65,982,37276.77,57593.0074,9598.834567,6,0.165094686,20.27922796,78,42,92,16,13,67,95,596,37,262,1298,1
9,E01000011,Barking and Dagenham 016C,90297.6798,1634,9.17,214000,10.24,375,33132.74,9759.6526,4879.8263,2,0.108083094,5.972859608,8,12,7,1,0,2,6,10,8,47,101,1
10,E01000012,Barking and Dagenham 015D,140353.4493,1901,13.9,170000,10.67,441,32616.73,89.3787,89.3787,1,0.000636812,0.047016675,16,10,13,0,1,7,14,6,23,59,149,1
11,E01000013,Barking and Dagenham 013A,208625.8606,1660,20.78,161000,10.13,211,32741.97,194.2449,194.2449,1,0.000931068,0.117015,18,18,20,6,10,18,17,97,39,74,317,1
12,E01000014,Barking and Dagenham 013B,340176.8217,1656,34.12,160000,11.4,179,32307.84,180413.3659,180413.3659,1,0.53035173,108.9452693,13,10,2,1,1,7,3,8,26,45,116,1
13,E01000015,Barking and Dagenham 009A,279995.8676,2241,28.06,150000,11.68,279,31524.5,52325.3214,52325.3214,1,0.186878906,23.34909478,15,15,5,2,1,4,5,11,22,44,124,1
14,E01000016,Barking and Dagenham 009B,196129.9277,1637,19.88,159995,9.07,176,33564.26,0,0,0,0,0,11,10,8,2,3,6,2,20,18,40,120,1
15,E01000017,Barking and Dagenham 009C,160789.8207,1594,15.84,167500,8.81,235,32478.52,0,0,0,0,0,6,12,5,2,0,6,3,9,22,50,115,1
16,E01000018,Barking and Dagenham 009D,173501.4982,1597,17.38,162000,10.45,197,33842.83,0,0,0,0,0,26,11,2,1,0,1,0,6,24,42,113,1
17,E01000019,Barking and Dagenham 023A,181817.813,1407,18.4,170000,13.41,207,33769.65,137.0916,137.0916,1,0.000754005,0.097435394,14,15,1,1,0,8,3,12,14,26,94,1
18,E01000020,Barking and Dagenham 023B,188414.4298,1834,18.72,155000,11.38,279,33994.94,0,0,0,0,0,8,11,0,1,0,6,6,24,17,33,106,1
19,E01000021,Barking and Dagenham 008A,171351.203,1579,16.93,160000,13.19,268,30889.85,671.9444,335.9722,2,0.003921445,0.425550602,14,13,6,3,2,8,4,17,26,37,130,1
20,E01000022,Barking and Dagenham 008B,128353.0011,1314,12.83,165000,10.23,177,35700.45,0,0,0,0,0,4,4,2,1,1,4,1,0,9,27,53,1
21,E01000023,Barking and Dagenham 008C,213389.4359,1112,20.72,179995,11.15,253,33985.84,9218.8177,3072.939233,3,0.043201847,8.290303687,25,23,30,7,8,22,21,57,36,108,337,1
22,E01000024,Barking and Dagenham 008D,127930.9579,1336,12.86,169500,9.15,174,33338.12,0,0,0,0,0,7,5,1,0,0,5,2,4,18,31,73,1
23,E01000025,Barking and Dagenham 008E,150578.1148,1609,15.34,160500,10.67,196,34076.04,3120.0051,3120.0051,1,0.020720176,1.939095774,14,12,2,1,0,7,3,8,21,40,108,1
24,E01000027,Barking and Dagenham 001A,1481937.098,1709,147.45,182500,11.31,178,31995.11,85898.7225,28632.9075,3,0.057963811,50.26256437,21,15,3,5,0,10,10,18,38,68,188,1
25,E01000028,Barking and Dagenham 001B,147122.2417,1549,14.38,150000,14.2,232,30915.21,1353.0155,676.50775,2,0.009196539,0.873476759,4,8,4,0,1,7,2,11,21,40,98,1
26,E01000029,Barking and Dagenham 001C,253013.7849,1602,25.69,231000,7.45,272,43034.48,19518.8737,9759.43685,2,0.077145495,12.18406598,11,20,0,1,0,4,3,10,23,23,95,1
27,E01000030,Barking and Dagenham 001D,283560.6428,1915,28.63,176500,14.05,232,29507.79,30952.8685,10317.62283,3,0.109157844,16.16337781,21,21,7,3,3,9,7,34,39,86,230,1
28,E01000031,Barking and Dagenham 002A,843553.2692,1617,84.35,223750,8.14,315,47995.05,0,0,0,0,0,14,13,0,4,1,6,3,14,22,41,118,1
29,E01000032,Barking and Dagenham 002B,379266.2537,1629,37.55,216000,10,245,40235.91,139913.4417,139913.4417,1,0.368905592,85.88916004,10,26,13,2,2,14,12,49,20,42,190,1
30,E01000033,Barking and Dagenham 006A,142768.0922,1361,14.53,172000,13.2,142,30599.78,375.9586,375.9586,1,0.002633352,0.276237032,10,11,7,3,1,4,2,5,6,22,71,1
31,E01000034,Barking and Dagenham 003A,514944.3667,1444,51.36,172500,8.74,167,36749.26,198956.4124,33159.40207,6,0.386364868,137.781449,12,5,9,0,1,4,3,16,12,35,97,1
32,E01000035,Barking and Dagenham 010A,394378.2497,1610,39.71,180000,9.2,259,37206.44,0,0,0,0,0,16,14,20,5,5,20,6,36,13,96,231,1
33,E01000036,Barking and Dagenham 010B,429815.6919,1353,41.87,202500,6.3,240,43059.38,12376.5683,3094.142075,4,0.028795059,9.147500591,14,4,6,0,1,19,6,15,21,43,129,1
34,E01000037,Barking and Dagenham 003B,237515.3998,1688,23.34,205000,12.75,264,52890.74,15468.9263,2209.846614,7,0.065128098,9.164055865,6,11,6,2,2,10,6,16,11,39,109,1
35,E01000038,Barking and Dagenham 003C,212309.086,1447,21.4,205000,6.91,178,46890.88,803.745,803.745,1,0.003785731,0.555456116,7,17,6,0,2,1,3,15,18,19,88,1
36,E01000039,Barking and Dagenham 003D,1525446.594,1603,153.18,192500,7.34,282,45152.74,1011164.211,63197.76319,16,0.66286438,630.7948915,3,12,14,1,0,3,1,6,10,19,69,1
37,E01000040,Barking and Dagenham 019A,169294.1765,1569,17.07,173000,10.73,243,32533.42,0,0,0,0,0,15,25,14,2,3,4,3,15,23,52,156,1
38,E01000041,Barking and Dagenham 017A,151659.2532,1682,15.26,160000,11.08,208,33989.52,2034.1695,2034.1695,1,0.013412762,1.209375446,14,10,2,1,0,2,2,4,19,21,75,1
39,E01000042,Barking and Dagenham 017B,232000.3587,1788,23.12,153500,14.91,258,30690.03,51084.2216,25542.1108,2,0.22019027,28.57059374,12,25,3,2,2,4,5,14,28,51,146,1
40,E01000043,Barking and Dagenham 019B,265312.132,1358,26.64,225000,11.13,193,33451.96,12810.4584,12810.4584,1,0.04828448,9.433327246,8,19,5,3,1,3,3,12,38,48,140,1
41,E01000044,Barking and Dagenham 016D,174485.8103,1798,17.06,183000,9.18,321,35327.16,741.9419,741.9419,1,0.004252162,0.412648443,8,24,2,2,1,4,3,10,21,36,111,1
42,E01000045,Barking and Dagenham 017C,299586.8208,1650,29.83,139500,10.34,261,34782.87,67489.6378,67489.6378,1,0.225275723,40.90281079,23,23,15,3,4,8,8,70,38,60,252,1
43,E01000046,Barking and Dagenham 017D,157068.6127,1779,15.55,158000,10.74,212,32992.34,0,0,0,0,0,9,9,2,3,1,5,2,6,24,24,85,1
44,E01000048,Barking and Dagenham 021B,64038.49283,1783,6.47,129000,18.69,220,24120.71,0,0,0,0,0,3,5,9,0,0,5,1,3,6,23,55,1
45,E01000049,Barking and Dagenham 021C,213580.6396,1820,21.22,135000,17.08,242,27742.9,42425.421,42425.421,1,0.198638889,23.31067088,14,7,2,2,8,8,5,81,18,38,183,1
46,E01000050,Barking and Dagenham 019C,138162.8199,1661,13.77,188500,11.82,320,32048.96,0,0,0,0,0,25,10,7,3,1,8,6,17,18,48,143,1
47,E01000051,Barking and Dagenham 021D,65796.07555,1927,6.67,137000,17.89,291,23806.13,0,0,0,0,0,9,9,7,0,0,3,5,17,8,7,65,1
48,E01000052,Barking and Dagenham 019D,200565.9556,2014,19.97,149500,8.65,366,32774.62,15634.1224,15634.1224,1,0.077950031,7.762722145,13,19,6,2,1,3,4,25,29,54,156,1
49,E01000053,Barking and Dagenham 020A,178084.6875,1485,18.09,112000,11.39,231,31904.28,3829.7812,3829.7812,1,0.021505393,2.578977239,13,14,5,7,1,9,6,18,17,45,135,1
50,E01000054,Barking and Dagenham 018A,171032.3991,1718,17.12,159500,10.25,210,34016.79,6663.7575,6663.7575,1,0.03896196,3.878787835,6,14,1,0,2,4,5,5,18,62,117,1
51,E01000055,Barking and Dagenham 018B,147235.0015,1553,14.6,152000,11.04,214,34377.96,0,0,0,0,0,9,13,6,2,4,12,5,5,14,36,106,1
52,E01000056,Barking and Dagenham 018C,248951.1487,1584,24.36,155000,11.71,188,32965.17,53451.1599,53451.1599,1,0.214705416,33.74441913,18,9,5,5,1,16,9,39,40,70,212,1
53,E01000057,Barking and Dagenham 012A,146457.005,1496,14.77,152500,9.39,225,33159.47,0,0,0,0,0,12,15,2,0,1,6,4,19,15,42,116,1
54,E01000058,Barking and Dagenham 018D,182167.3527,1849,18.22,168000,8.9,292,34157.03,0,0,0,0,0,13,15,3,2,2,9,4,10,17,46,121,1
55,E01000059,Barking and Dagenham 013C,209342.5659,1582,20.83,150997.5,10.01,192,32946.95,50080.6676,50080.6676,1,0.239228307,31.65655348,8,18,2,0,0,3,8,5,26,41,111,1
56,E01000060,Barking and Dagenham 006B,550401.3566,1809,54.99,158000,12.03,245,32336.8,223672.8254,55918.20635,4,0.406381312,123.6444585,19,15,5,0,1,17,15,89,23,66,250,1
57,E01000061,Barking and Dagenham 006C,605528.2146,1776,61.05,116500,18.63,204,24440.46,276956.0701,138478.035,2,0.457379299,155.9437332,12,15,21,2,3,9,6,12,20,87,187,1
58,E01000062,Barking and Dagenham 006D,225914.9089,1952,22.13,163000,12.33,282,34748.09,5604.3728,5604.3728,1,0.02480745,2.871092623,4,9,5,0,3,2,9,17,15,56,120,1
59,E01000063,Barking and Dagenham 004A,182521.5497,1620,18.12,163500,11.62,177,32681.45,0,0,0,0,0,6,5,2,0,1,9,6,6,17,28,80,1
60,E01000064,Barking and Dagenham 006E,209303.1822,1893,20.88,142500,9.94,256,32736.24,0,0,0,0,0,7,17,4,3,0,6,2,20,10,64,133,1
61,E01000065,Barking and Dagenham 007A,231233.9719,1736,23.36,158750,11.38,232,31645.16,0,0,0,0,0,8,14,2,3,0,10,6,11,12,42,108,1
62,E01000066,Barking and Dagenham 011A,245841.1996,1928,24.49,259747.5,7.41,317,43556.54,1513.8894,1513.8894,1,0.006157997,0.785212344,9,17,11,5,3,4,4,17,36,31,137,1
63,E01000067,Barking and Dagenham 011B,192149.6525,1969,19.25,250000,8.73,358,47083.59,0,0,0,0,0,5,20,3,0,1,5,0,8,38,24,104,1
64,E01000068,Barking and Dagenham 016E,341692.3984,1590,33.97,260000,6,333,50176.11,151463.3931,151463.3931,1,0.443274108,95.25999566,6,12,4,5,3,4,4,13,25,29,105,1
65,E01000069,Barking and Dagenham 011C,195356.3953,1763,20.05,298000,4.29,321,55729.18,0,0,0,0,0,9,18,4,0,1,1,1,5,20,22,81,1
66,E01000070,Barking and Dagenham 011D,395818.0109,1975,39.18,250000,8.04,401,52181.46,120285.8737,120285.8737,1,0.303891865,60.90423985,10,26,32,2,5,9,30,34,31,53,232,1
67,E01000071,Barking and Dagenham 011E,270621.6323,2253,27.06,249995,7.96,484,46041.24,0,0,0,0,0,8,28,3,1,0,4,7,23,33,39,146,1
68,E01000072,Barking and Dagenham 017E,522560.1232,1991,52.02,172750,11.92,235,29630.65,331524.764,165762.382,2,0.634424154,166.5116846,20,19,15,6,4,8,19,30,31,67,219,1
69,E01000073,Barking and Dagenham 012B,282928.5983,1619,28.46,155000,10.19,202,33156.58,118032.1627,59016.08135,2,0.417180036,72.90436238,10,13,2,1,0,5,2,11,25,33,102,1
70,E01000074,Barking and Dagenham 012C,164571.2559,1567,16.42,152000,9.39,188,32664.59,0,0,0,0,0,5,6,1,0,0,3,1,6,17,23,62,1
71,E01000075,Barking and Dagenham 012D,516159.8303,1732,51.74,181500,9.23,200,34042.56,258317.2841,129158.6421,2,0.500459875,149.1439285,16,23,9,4,0,12,20,25,24,48,181,1
72,E01000076,Barking and Dagenham 012E,189981.0506,1988,19.07,151000,10.98,222,31347.65,0,0,0,0,0,10,13,2,3,2,3,0,11,15,31,90,1
73,E01000077,Barking and Dagenham 008F,174019.238,1445,17.38,167250,11.83,172,31502.62,0,0,0,0,0,13,10,3,0,1,8,3,9,14,61,122,1
74,E01000078,Barking and Dagenham 007B,171760.2998,1666,17.58,155747.5,12.05,190,30616.26,0,0,0,0,0,17,9,0,2,3,5,5,11,11,48,111,1
75,E01000079,Barking and Dagenham 009E,309908.9005,1546,30.96,146000,10.63,204,32164.99,111704.0301,111704.0301,1,0.360441504,72.25357704,7,6,2,1,2,2,5,2,20,26,73,1
76,E01000080,Barking and Dagenham 007C,232963.0442,1556,23.13,158750,13.31,183,31995.17,51629.4164,51629.4164,1,0.221620629,33.18085887,6,10,8,1,1,3,10,3,12,59,113,1
77,E01000081,Barking and Dagenham 007D,186342.0728,1688,18.58,169000,8.76,193,33174.33,0,0,0,0,0,5,19,1,4,1,5,1,4,18,47,105,1
