LSOA11CD,LSOA11NM,sumarea,agvarea,count,Green_rate, Per_capita_green_area,Theft,Violence_Against_the_Person,sum
E01000007,Barking and Dagenham 015A,17320.7981,5773.599367,3,0.087419258,12.45204752,99,122,385
E01000008,Barking and Dagenham 015B,13627.6521,4542.5507,3,0.070454415,8.826199547,39,63,201
E01000009,Barking and Dagenham 016B,356.6787,356.6787,1,0.002773734,0.20117242,43,94,247
E01000010,Barking and Dagenham 015C,57593.0074,9598.834567,6,0.165094686,20.27922796,596,262,1298
E01000011,Barking and Dagenham 016C,9759.6526,4879.8263,2,0.108083094,5.972859608,10,47,101
E01000012,Barking and Dagenham 015D,89.3787,89.3787,1,0.000636812,0.047016675,6,59,149
E01000013,Barking and Dagenham 013A,194.2449,194.2449,1,0.000931068,0.117015,97,74,317
E01000014,Barking and Dagenham 013B,180413.3659,180413.3659,1,0.53035173,108.9452693,8,45,116
E01000015,Barking and Dagenham 009A,52325.3214,52325.3214,1,0.186878906,23.34909478,11,44,124
E01000019,Barking and Dagenham 023A,137.0916,137.0916,1,0.000754005,0.097435394,12,26,94
E01000021,Barking and Dagenham 008A,671.9444,335.9722,2,0.003921445,0.425550602,17,37,130
E01000023,Barking and Dagenham 008C,9218.8177,3072.939233,3,0.043201847,8.290303687,57,108,337
E01000025,Barking and Dagenham 008E,3120.0051,3120.0051,1,0.020720176,1.939095774,8,40,108
E01000027,Barking and Dagenham 001A,85898.7225,28632.9075,3,0.057963811,50.26256437,18,68,188
E01000028,Barking and Dagenham 001B,1353.0155,676.50775,2,0.009196539,0.873476759,11,40,98
E01000029,Barking and Dagenham 001C,19518.8737,9759.43685,2,0.077145495,12.18406598,10,23,95
E01000030,Barking and Dagenham 001D,30952.8685,10317.62283,3,0.109157844,16.16337781,34,86,230
E01000032,Barking and Dagenham 002B,139913.4417,139913.4417,1,0.368905592,85.88916004,49,42,190
E01000033,Barking and Dagenham 006A,375.9586,375.9586,1,0.002633352,0.276237032,5,22,71
E01000034,Barking and Dagenham 003A,198956.4124,33159.40207,6,0.386364868,137.781449,16,35,97
E01000036,Barking and Dagenham 010B,12376.5683,3094.142075,4,0.028795059,9.147500591,15,43,129
E01000037,Barking and Dagenham 003B,15468.9263,2209.846614,7,0.065128098,9.164055865,16,39,109
E01000038,Barking and Dagenham 003C,803.745,803.745,1,0.003785731,0.555456116,15,19,88
E01000039,Barking and Dagenham 003D,1011164.211,63197.76319,16,0.66286438,630.7948915,6,19,69
E01000041,Barking and Dagenham 017A,2034.1695,2034.1695,1,0.013412762,1.209375446,4,21,75
E01000042,Barking and Dagenham 017B,51084.2216,25542.1108,2,0.22019027,28.57059374,14,51,146
E01000043,Barking and Dagenham 019B,12810.4584,12810.4584,1,0.04828448,9.433327246,12,48,140
E01000044,Barking and Dagenham 016D,741.9419,741.9419,1,0.004252162,0.412648443,10,36,111
E01000045,Barking and Dagenham 017C,67489.6378,67489.6378,1,0.225275723,40.90281079,70,60,252
E01000049,Barking and Dagenham 021C,42425.421,42425.421,1,0.198638889,23.31067088,81,38,183
E01000052,Barking and Dagenham 019D,15634.1224,15634.1224,1,0.077950031,7.762722145,25,54,156
E01000053,Barking and Dagenham 020A,3829.7812,3829.7812,1,0.021505393,2.578977239,18,45,135
E01000054,Barking and Dagenham 018A,6663.7575,6663.7575,1,0.03896196,3.878787835,5,62,117
E01000056,Barking and Dagenham 018C,53451.1599,53451.1599,1,0.214705416,33.74441913,39,70,212
E01000059,Barking and Dagenham 013C,50080.6676,50080.6676,1,0.239228307,31.65655348,5,41,111
E01000060,Barking and Dagenham 006B,223672.8254,55918.20635,4,0.406381312,123.6444585,89,66,250
E01000061,Barking and Dagenham 006C,276956.0701,138478.035,2,0.457379299,155.9437332,12,87,187
E01000062,Barking and Dagenham 006D,5604.3728,5604.3728,1,0.02480745,2.871092623,17,56,120
E01000066,Barking and Dagenham 011A,1513.8894,1513.8894,1,0.006157997,0.785212344,17,31,137
E01000068,Barking and Dagenham 016E,151463.3931,151463.3931,1,0.443274108,95.25999566,13,29,105
E01000070,Barking and Dagenham 011D,120285.8737,120285.8737,1,0.303891865,60.90423985,34,53,232
E01000072,Barking and Dagenham 017E,331524.764,165762.382,2,0.634424154,166.5116846,30,67,219
E01000073,Barking and Dagenham 012B,118032.1627,59016.08135,2,0.417180036,72.90436238,11,33,102
E01000075,Barking and Dagenham 012D,258317.2841,129158.6421,2,0.500459875,149.1439285,25,48,181
E01000079,Barking and Dagenham 009E,111704.0301,111704.0301,1,0.360441504,72.25357704,2,26,73
E01000080,Barking and Dagenham 007C,51629.4164,51629.4164,1,0.221620629,33.18085887,3,59,113
E01000082,Barking and Dagenham 007E,1682.7181,1682.7181,1,0.010301264,0.999832501,26,40,135
E01000084,Barking and Dagenham 013D,7719.116,7719.116,1,0.050623326,5.696764576,29,67,193
E01000086,Barking and Dagenham 013F,15576.5213,15576.5213,1,0.111986895,10.88506031,7,30,81
E01000087,Barking and Dagenham 020B,9061.8586,9061.8586,1,0.024154509,6.757538106,25,44,182
E01000088,Barking and Dagenham 020C,28352.9923,9450.997433,3,0.126377607,15.51038966,16,63,135
E01000089,Barking and Dagenham 020D,19713.7213,1642.810108,12,0.130604681,11.83296597,8,49,111
E01000090,Barking and Dagenham 020E,21605.2018,3600.866967,6,0.011116724,13.6396476,59,28,135
E01000091,Barking and Dagenham 022A,17291.322,8645.661,2,0.069789969,10.08828588,15,58,188
E01000092,Barking and Dagenham 019E,60454.8,6045.48,10,0.022869544,22.60837696,76,135,453
E01000093,Barking and Dagenham 022B,2764.6689,691.167225,4,0.009460837,1.78711629,14,81,184
E01000094,Barking and Dagenham 022C,100361.1759,25090.29397,4,0.167202275,75.68716131,15,44,118
E01000095,Barking and Dagenham 018E,136865.5086,27373.10172,5,0.059575105,87.0645729,222,52,432
E01000096,Barking and Dagenham 022D,112075.3408,56037.6704,2,0.187213443,59.14266005,24,60,178
E01000100,Barking and Dagenham 004B,38438.5835,38438.5835,1,0.182514682,23.25383152,6,28,95
E01000102,Barking and Dagenham 007G,66848.9448,66848.9448,1,0.262780548,43.40840571,7,29,85
E01000103,Barking and Dagenham 014A,486992.9508,40582.7459,12,0.69745952,289.016588,9,30,103
E01000104,Barking and Dagenham 014B,24268.3029,2426.83029,10,0.112265321,13.62622285,28,66,162
E01000105,Barking and Dagenham 014C,21942.3418,21942.3418,1,0.09812757,10.30640761,96,93,350
E01000106,Barking and Dagenham 014D,18261.3423,6087.1141,3,0.082685961,9.279137348,21,76,213
