LSOA11CD,LSOA11NM,sumarea,agvarea,count,Green_rate, Per_capita_green_area,Theft,Violence_Against_the_Person,sum
E01000119,Barnet 009C,33233.7987,16616.89935,2,0.082976892,19.78202304,5,17,73
E01000120,Barnet 009D,28863.6334,14431.8167,2,0.118795055,19.19124561,9,5,69
E01000122,Barnet 009E,11581.5817,2895.395425,4,0.049174826,7.87327104,2,10,45
E01000135,Barnet 038A,55922.593,27961.2965,2,0.167579755,35.75613363,9,23,111
E01000136,Barnet 038B,154020.489,22002.927,7,0.296091714,100.5355672,13,13,85
E01000172,Barnet 003D,30152.328,10050.776,3,0.055270586,17.97992129,4,21,68
E01000177,Barnet 029A,4118.0273,2059.01365,2,0.024508394,2.529500799,4,8,56
E01000178,Barnet 027B,123382.1194,41127.37313,3,0.293913448,68.89007225,14,15,88
E01000180,Barnet 029C,324.6127,324.6127,1,0.001910619,0.201999191,8,35,100
E01000182,Barnet 029E,52768.7321,52768.7321,1,0.24345896,31.20563696,23,39,158
E01000183,Barnet 033A,828.2735,828.2735,1,0.003628893,0.562303802,9,11,60
E01000188,Barnet 014C,175514.0231,87757.01155,2,0.054827104,112.9433868,69,19,147
E01000190,Barnet 014E,8310.3698,8310.3698,1,0.03395668,5.263058771,5,19,66
E01000191,Barnet 014F,355.3981,355.3981,1,0.001377852,0.233047934,5,10,51
E01000193,Barnet 018B,21918.5848,10959.2924,2,0.072267828,12.82538607,248,74,443
E01000196,Barnet 028A,25357.7108,25357.7108,1,0.103004094,14.07198158,57,49,214
E01000197,Barnet 023A,37256.7399,12418.9133,3,0.133559354,20.35887426,10,38,121
E01000198,Barnet 025A,40312.9358,20156.4679,2,0.121995783,21.29579282,8,23,74
E01000199,Barnet 025B,30030.0832,10010.02773,3,0.089740405,18.57148002,4,17,68
E01000200,Barnet 028B,21778.1938,21778.1938,1,0.079115687,11.80389908,4,18,94
E01000201,Barnet 028C,4399.2923,4399.2923,1,0.011190377,2.873476355,6,12,80
E01000204,Barnet 025C,10008.3047,3336.101567,3,0.031086727,5.791842998,21,20,109
E01000205,Barnet 035A,61244.063,15311.01575,4,0.161616834,40.23920039,5,25,105
E01000206,Barnet 033B,273123.9094,34140.48868,8,0.206630949,173.301973,8,16,125
E01000207,Barnet 033C,41403.1901,10350.79753,4,0.120140517,26.15488951,26,6,86
E01000208,Barnet 033D,11030.0143,5515.00715,2,0.027072748,6.919707842,10,20,89
E01000209,Barnet 035B,47915.497,15971.83233,3,0.119450013,30.65610813,6,20,91
E01000210,Barnet 033E,173843.5253,86921.76265,2,0.346721091,112.3020189,9,17,85
E01000211,Barnet 035C,36261.5741,36261.5741,1,0.130891683,18.00475377,126,41,265
E01000212,Barnet 035D,22925.7719,22925.7719,1,0.06643133,16.05446211,9,13,71
