Codes,Names,Population_Density, Census_Population_All Ages,house_price,Unemployment_Rate,Level_4_qualifications,Mean_Annual_Household_Income
E01000907,Camden 001A,696.00 ,556.00 ,3924.00 ,3715.00 ,2698.00 ,2194.00 
E01000908,Camden 001B,1979.00 ,1672.00 ,2625.00 ,3007.00 ,3552.00 ,2489.00 
E01000909,Camden 001C,2791.00 ,2005.00 ,4009.00 ,1310.00 ,4376.00 ,4586.00 
E01000912,Camden 001D,4617.00 ,1753.00 ,4278.00 ,3321.00 ,3437.00 ,2404.00 
E01000913,Camden 001E,4752.00 ,2899.00 ,4737.00 ,33.00 ,4573.00 ,4782.00 
E01000893,Camden 002A,4335.00 ,1541.00 ,4620.00 ,549.00 ,4604.00 ,4691.00 
E01000894,Camden 002B,2691.00 ,410.00 ,4728.00 ,546.00 ,4245.00 ,4779.00 
E01000895,Camden 002C,527.00 ,2174.00 ,4636.00 ,243.00 ,4414.00 ,4431.00 
E01000896,Camden 002D,1555.00 ,2763.00 ,4709.00 ,690.00 ,4715.00 ,4758.00 
E01000899,Camden 002E,4676.00 ,2528.00 ,4799.00 ,84.00 ,4352.00 ,4799.00 
E01000910,Camden 003A,1151.00 ,787.00 ,4304.00 ,673.00 ,4258.00 ,4701.00 
E01000911,Camden 003B,381.00 ,1476.00 ,3967.00 ,2161.00 ,3618.00 ,3216.00 
E01000921,Camden 003C,1038.00 ,4237.00 ,3361.00 ,1243.00 ,4722.00 ,3048.00 
E01000923,Camden 003D,340.00 ,932.00 ,4188.00 ,2537.00 ,3957.00 ,3954.00 
E01000928,Camden 003E,3052.00 ,2680.00 ,3408.00 ,1786.00 ,3795.00 ,3059.00 
E01000878,Camden 004A,2253.00 ,2119.00 ,4608.00 ,1066.00 ,3576.00 ,4516.00 
E01000879,Camden 004B,2021.00 ,704.00 ,4664.00 ,1098.00 ,3957.00 ,4698.00 
E01000880,Camden 004C,2416.00 ,1886.00 ,4711.00 ,371.00 ,4313.00 ,4754.00 
E01000884,Camden 004D,2997.00 ,764.00 ,4744.00 ,419.00 ,3999.00 ,4770.00 
E01000885,Camden 004E,3531.00 ,867.00 ,4802.00 ,253.00 ,3696.00 ,4811.00 
E01000871,Camden 005A,3543.00 ,2504.00 ,4526.00 ,2259.00 ,4170.00 ,4278.00 
