Codes,Names,Level_4_qualifications,Mean_Annual_Household_Income
E01000907,Camden 001A,2698.00 ,2194.00 
E01000908,Camden 001B,3552.00 ,2489.00 
E01000909,Camden 001C,4376.00 ,4586.00 
E01000912,Camden 001D,3437.00 ,2404.00 
E01000913,Camden 001E,4573.00 ,4782.00 
E01000893,Camden 002A,4604.00 ,4691.00 
E01000894,Camden 002B,4245.00 ,4779.00 
E01000895,Camden 002C,4414.00 ,4431.00 
E01000896,Camden 002D,4715.00 ,4758.00 
E01000899,Camden 002E,4352.00 ,4799.00 
E01000910,Camden 003A,4258.00 ,4701.00 
E01000911,Camden 003B,3618.00 ,3216.00 
E01000921,Camden 003C,4722.00 ,3048.00 
E01000923,Camden 003D,3957.00 ,3954.00 
E01000928,Camden 003E,3795.00 ,3059.00 
E01000878,Camden 004A,3576.00 ,4516.00 
E01000879,Camden 004B,3957.00 ,4698.00 
E01000880,Camden 004C,4313.00 ,4754.00 
E01000884,Camden 004D,3999.00 ,4770.00 
E01000885,Camden 004E,3696.00 ,4811.00 
E01000871,Camden 005A,4170.00 ,4278.00 
E01000872,Camden 005B,4426.00 ,2523.00 
E01000873,Camden 005C,4544.00 ,4450.00 
E01000874,Camden 005D,4527.00 ,4564.00 
E01000877,Camden 005E,4456.00 ,4467.00 
E01000886,Camden 006A,3941.00 ,4293.00 
E01000887,Camden 006B,4123.00 ,3903.00 
E01000888,Camden 006C,4071.00 ,3818.00 
E01000892,Camden 006D,4347.00 ,3833.00 
E01000903,Camden 006E,3847.00 ,3840.00 
E01000889,Camden 007A,1567.00 ,1107.00 
E01000890,Camden 007B,1166.00 ,92.00 
E01000891,Camden 007C,1276.00 ,87.00 
E01000901,Camden 007D,2725.00 ,495.00 
E01000922,Camden 007E,3185.00 ,2300.00 
E01000927,Camden 007F,4490.00 ,3793.00 
E01000881,Camden 008A,4115.00 ,4200.00 
E01000882,Camden 008B,4557.00 ,4713.00 
E01000883,Camden 008C,3971.00 ,4306.00 
E01000897,Camden 008D,4605.00 ,4781.00 
E01000898,Camden 008E,4592.00 ,3868.00 
E01000866,Camden 009A,4447.00 ,2702.00 
E01000870,Camden 009B,3802.00 ,2403.00 
E01000924,Camden 009C,4538.00 ,3582.00 
E01000925,Camden 009D,1866.00 ,949.00 
E01000926,Camden 009E,4598.00 ,2644.00 
E01000969,Camden 010A,4821.00 ,4484.00 
E01000970,Camden 010B,4672.00 ,4209.00 
E01000971,Camden 010C,4225.00 ,4510.00 
E01000972,Camden 010D,4258.00 ,2178.00 
E01000973,Camden 010E,4600.00 ,2730.00 
E01000842,Camden 011A,4478.00 ,4661.00 
E01000844,Camden 011B,4738.00 ,4645.00 
E01000848,Camden 011C,4562.00 ,4624.00 
E01000849,Camden 011D,4602.00 ,4317.00 
E01000900,Camden 012A,3437.00 ,2351.00 
E01000902,Camden 012B,1786.00 ,859.00 
E01000904,Camden 012C,3865.00 ,2011.00 
E01000905,Camden 012D,1990.00 ,178.00 
E01000906,Camden 012E,4579.00 ,4202.00 
E01000875,Camden 013A,4277.00 ,2673.00 
E01000876,Camden 013B,3460.00 ,1763.00 
E01000931,Camden 013C,3261.00 ,1182.00 
E01000932,Camden 013D,4708.00 ,3220.00 
E01000974,Camden 013E,3725.00 ,2141.00 
E01000843,Camden 014A,4447.00 ,3889.00 
E01000845,Camden 014B,4236.00 ,4416.00 
E01000846,Camden 014C,2502.00 ,2803.00 
E01000847,Camden 014D,3161.00 ,3001.00 
E01000864,Camden 015A,3999.00 ,3401.00 
E01000865,Camden 015B,3416.00 ,4140.00 
E01000867,Camden 015C,2972.00 ,1465.00 
E01000868,Camden 015D,1397.00 ,847.00 
E01000869,Camden 015E,4678.00 ,2883.00 
E01000962,Camden 016A,4679.00 ,4575.00 
E01000964,Camden 016B,4194.00 ,3993.00 
E01000965,Camden 016C,4406.00 ,3878.00 
E01000966,Camden 016D,4636.00 ,4687.00 
E01000968,Camden 016E,4530.00 ,4017.00 
E01000960,Camden 017A,4414.00 ,3652.00 
E01000961,Camden 017B,2926.00 ,2215.00 
E01000963,Camden 017C,4485.00 ,4402.00 
E01000967,Camden 017D,3505.00 ,4630.00 
E01000857,Camden 018A,3829.00 ,4135.00 
E01000858,Camden 018B,2905.00 ,1584.00 
E01000859,Camden 018C,4584.00 ,4641.00 
E01000860,Camden 018D,3658.00 ,3914.00 
