Codes,Names,Level_4_qualifications,Mean_Annual_Household_Income,Population_Density
E01000907,Camden 001A,2698,2194,696.00 
E01000908,Camden 001B,3552,2489,1979.00 
E01000909,Camden 001C,4376,4586,2791.00 
E01000912,Camden 001D,3437,2404,4617.00 
E01000913,Camden 001E,4573,4782,4752.00 
E01000893,Camden 002A,4604,4691,4335.00 
E01000894,Camden 002B,4245,4779,2691.00 
E01000895,Camden 002C,4414,4431,527.00 
E01000896,Camden 002D,4715,4758,1555.00 
E01000899,Camden 002E,4352,4799,4676.00 
E01000910,Camden 003A,4258,4701,1151.00 
E01000911,Camden 003B,3618,3216,381.00 
E01000921,Camden 003C,4722,3048,1038.00 
E01000923,Camden 003D,3957,3954,340.00 
E01000928,Camden 003E,3795,3059,3052.00 
E01000878,Camden 004A,3576,4516,2253.00 
E01000879,Camden 004B,3957,4698,2021.00 
E01000880,Camden 004C,4313,4754,2416.00 
E01000884,Camden 004D,3999,4770,2997.00 
E01000885,Camden 004E,3696,4811,3531.00 
E01000871,Camden 005A,4170,4278,3543.00 
E01000872,Camden 005B,4426,2523,1479.00 
E01000873,Camden 005C,4544,4450,986.00 
E01000874,Camden 005D,4527,4564,341.00 
E01000877,Camden 005E,4456,4467,765.00 
E01000886,Camden 006A,3941,4293,612.00 
E01000887,Camden 006B,4123,3903,561.00 
E01000888,Camden 006C,4071,3818,459.00 
E01000892,Camden 006D,4347,3833,991.00 
E01000903,Camden 006E,3847,3840,595.00 
E01000889,Camden 007A,1567,1107,896.00 
E01000890,Camden 007B,1166,92,209.00 
E01000891,Camden 007C,1276,87,227.00 
E01000901,Camden 007D,2725,495,670.00 
E01000922,Camden 007E,3185,2300,2235.00 
E01000927,Camden 007F,4490,3793,570.00 
E01000881,Camden 008A,4115,4200,1495.00 
E01000882,Camden 008B,4557,4713,983.00 
E01000883,Camden 008C,3971,4306,1348.00 
E01000897,Camden 008D,4605,4781,2329.00 
E01000898,Camden 008E,4592,3868,1892.00 
E01000866,Camden 009A,4447,2702,1451.00 
E01000870,Camden 009B,3802,2403,1082.00 
E01000924,Camden 009C,4538,3582,536.00 
E01000925,Camden 009D,1866,949,302.00 
E01000926,Camden 009E,4598,2644,440.00 
E01000969,Camden 010A,4821,4484,1820.00 
E01000970,Camden 010B,4672,4209,144.00 
E01000971,Camden 010C,4225,4510,255.00 
E01000972,Camden 010D,4258,2178,1336.00 
E01000973,Camden 010E,4600,2730,2889.00 
E01000842,Camden 011A,4478,4661,652.00 
E01000844,Camden 011B,4738,4645,817.00 
E01000848,Camden 011C,4562,4624,576.00 
E01000849,Camden 011D,4602,4317,228.00 
E01000900,Camden 012A,3437,2351,554.00 
E01000902,Camden 012B,1786,859,322.00 
E01000904,Camden 012C,3865,2011,874.00 
E01000905,Camden 012D,1990,178,347.00 
E01000906,Camden 012E,4579,4202,1284.00 
E01000875,Camden 013A,4277,2673,890.00 
E01000876,Camden 013B,3460,1763,881.00 
E01000931,Camden 013C,3261,1182,1482.00 
E01000932,Camden 013D,4708,3220,124.00 
E01000974,Camden 013E,3725,2141,841.00 
E01000843,Camden 014A,4447,3889,312.00 
E01000845,Camden 014B,4236,4416,913.00 
E01000846,Camden 014C,2502,2803,300.00 
E01000847,Camden 014D,3161,3001,540.00 
E01000864,Camden 015A,3999,3401,512.00 
E01000865,Camden 015B,3416,4140,728.00 
E01000867,Camden 015C,2972,1465,269.00 
E01000868,Camden 015D,1397,847,316.00 
E01000869,Camden 015E,4678,2883,835.00 
E01000962,Camden 016A,4679,4575,477.00 
