counts,max-vision,max-metabolism
348,1,1
293,1,2
255,1,3
180,1,4
355,2,1
309,2,2
270,2,3
198,2,4
359,3,1
341,3,2
274,3,3
212,3,4
369,4,1
331,4,2
282,4,3
223,4,4
372,5,1
348,5,2
282,5,3
228,5,4
382,6,1
353,6,2
285,6,3
237,6,4
359,1,1
316,1,2
237,1,3
214,1,4
347,2,1
311,2,2
263,2,3
189,2,4
358,3,1
330,3,2
266,3,3
204,3,4
373,4,1
343,4,2
283,4,3
206,4,4
372,5,1
347,5,2
278,5,3
224,5,4
381,6,1
370,6,2
297,6,3
234,6,4
335,1,1
317,1,2
247,1,3
209,1,4
351,2,1
329,2,2
261,2,3
210,2,4
358,3,1
340,3,2
272,3,3
205,3,4
368,4,1
332,4,2
269,4,3
221,4,4
371,5,1
345,5,2
282,5,3
235,5,4
376,6,1
356,6,2
279,6,3
228,6,4
349,1,1
309,1,2
233,1,3
197,1,4
351,2,1
315,2,2
259,2,3
191,2,4
371,3,1
340,3,2
255,3,3
219,3,4
370,4,1
326,4,2
280,4,3
225,4,4
372,5,1
349,5,2
293,5,3
227,5,4
377,6,1
343,6,2
287,6,3
245,6,4
355,1,1
311,1,2
252,1,3
206,1,4
355,2,1
324,2,2
255,2,3
205,2,4
350,3,1
337,3,2
266,3,3
229,3,4
362,4,1
346,4,2
276,4,3
199,4,4
372,5,1
347,5,2
285,5,3
223,5,4
372,6,1
356,6,2
297,6,3
222,6,4
,,
,,
,,
