counts,max-vision,max-metabolism
335,1,1
322,1,2
249,1,3
221,1,4
361,2,1
320,2,2
253,2,3
225,2,4
361,3,1
327,3,2
280,3,3
212,3,4
370,4,1
336,4,2
299,4,3
216,4,4
369,5,1
339,5,2
295,5,3
254,5,4
381,6,1
352,6,2
297,6,3
249,6,4
343,1,1
313,1,2
259,1,3
212,1,4
353,2,1
326,2,2
264,2,3
208,2,4
357,3,1
315,3,2
263,3,3
223,3,4
362,4,1
347,4,2
275,4,3
227,4,4
364,5,1
341,5,2
304,5,3
217,5,4
373,6,1
352,6,2
298,6,3
240,6,4
344,1,1
331,1,2
247,1,3
192,1,4
351,2,1
323,2,2
277,2,3
202,2,4
358,3,1
331,3,2
271,3,3
222,3,4
359,4,1
329,4,2
289,4,3
220,4,4
371,5,1
339,5,2
285,5,3
239,5,4
371,6,1
350,6,2
298,6,3
263,6,4
350,1,1
297,1,2
252,1,3
193,1,4
352,2,1
336,2,2
280,2,3
214,2,4
359,3,1
335,3,2
272,3,3
210,3,4
363,4,1
326,4,2
277,4,3
221,4,4
378,5,1
340,5,2
288,5,3
252,5,4
368,6,1
360,6,2
317,6,3
268,6,4
345,1,1
316.2,1,2
252.4,1,3
199.8,1,4
356.2,2,1
323.2,2,2
264.8,2,3
210.2,2,4
357.8,3,1
327.4,3,2
269.2,3,3
217.8,3,4
364.2,4,1
332,4,2
285,4,3
222,4,4
369.6,5,1
340.2,5,2
292.6,5,3
244.6,5,4
374,6,1
352.8,6,2
303.4,6,3
253.8,6,4
