Codes,Names, Census_Population_All Ages,Population_Density,house_price,Unemployment_Rate,qualification4,Mean_Household_Income
E01000001,City of London 001A,1465.00 ,12.98 ,504999.50 ,3.53 ,1047.00 ,74846.18 
E01000002,City of London 001B,1436.00 ,22.84 ,525000.00 ,1.73 ,1024.00 ,73325.39 
E01000003,City of London 001C,1346.00 ,5.91 ,350000.00 ,4.74 ,706.00 ,44130.31 
E01000005,City of London 001E,985.00 ,18.96 ,300000.00 ,8.68 ,283.00 ,30780.84 
E01000006,Barking and Dagenham 016A,1703.00 ,14.66 ,240500.00 ,9.50 ,431.00 ,46141.12 
E01000007,Barking and Dagenham 015A,1391.00 ,20.00 ,212000.00 ,11.90 ,342.00 ,30821.83 
E01000008,Barking and Dagenham 015B,1544.00 ,19.51 ,140000.00 ,17.96 ,252.00 ,28358.78 
E01000009,Barking and Dagenham 016B,1773.00 ,12.79 ,226500.00 ,10.04 ,511.00 ,38261.38 
E01000010,Barking and Dagenham 015C,2840.00 ,35.21 ,151475.00 ,9.65 ,982.00 ,37276.77 
E01000011,Barking and Dagenham 016C,1634.00 ,9.17 ,214000.00 ,10.24 ,375.00 ,33132.74 
E01000012,Barking and Dagenham 015D,1901.00 ,13.90 ,170000.00 ,10.67 ,441.00 ,32616.73 
E01000013,Barking and Dagenham 013A,1660.00 ,20.78 ,161000.00 ,10.13 ,211.00 ,32741.97 
E01000014,Barking and Dagenham 013B,1656.00 ,34.12 ,160000.00 ,11.40 ,179.00 ,32307.84 
E01000015,Barking and Dagenham 009A,2241.00 ,28.06 ,150000.00 ,11.68 ,279.00 ,31524.50 
E01000016,Barking and Dagenham 009B,1637.00 ,19.88 ,159995.00 ,9.07 ,176.00 ,33564.26 
E01000017,Barking and Dagenham 009C,1594.00 ,15.84 ,167500.00 ,8.81 ,235.00 ,32478.52 
E01000018,Barking and Dagenham 009D,1597.00 ,17.38 ,162000.00 ,10.45 ,197.00 ,33842.83 
E01000019,Barking and Dagenham 023A,1407.00 ,18.40 ,170000.00 ,13.41 ,207.00 ,33769.65 
E01000020,Barking and Dagenham 023B,1834.00 ,18.72 ,155000.00 ,11.38 ,279.00 ,33994.94 
E01000021,Barking and Dagenham 008A,1579.00 ,16.93 ,160000.00 ,13.19 ,268.00 ,30889.85 
E01000022,Barking and Dagenham 008B,1314.00 ,12.83 ,165000.00 ,10.23 ,177.00 ,35700.45 
E01000023,Barking and Dagenham 008C,1112.00 ,20.72 ,179995.00 ,11.15 ,253.00 ,33985.84 
E01000024,Barking and Dagenham 008D,1336.00 ,12.86 ,169500.00 ,9.15 ,174.00 ,33338.12 
E01000025,Barking and Dagenham 008E,1609.00 ,15.34 ,160500.00 ,10.67 ,196.00 ,34076.04 
E01000027,Barking and Dagenham 001A,1709.00 ,147.45 ,182500.00 ,11.31 ,178.00 ,31995.11 
E01000028,Barking and Dagenham 001B,1549.00 ,14.38 ,150000.00 ,14.20 ,232.00 ,30915.21 
E01000029,Barking and Dagenham 001C,1602.00 ,25.69 ,231000.00 ,7.45 ,272.00 ,43034.48 
E01000030,Barking and Dagenham 001D,1915.00 ,28.63 ,176500.00 ,14.05 ,232.00 ,29507.79 
E01000031,Barking and Dagenham 002A,1617.00 ,84.35 ,223750.00 ,8.14 ,315.00 ,47995.05 
E01000032,Barking and Dagenham 002B,1629.00 ,37.55 ,216000.00 ,10.00 ,245.00 ,40235.91 
E01000033,Barking and Dagenham 006A,1361.00 ,14.53 ,172000.00 ,13.20 ,142.00 ,30599.78 
E01000034,Barking and Dagenham 003A,1444.00 ,51.36 ,172500.00 ,8.74 ,167.00 ,36749.26 
E01000035,Barking and Dagenham 010A,1610.00 ,39.71 ,180000.00 ,9.20 ,259.00 ,37206.44 
E01000036,Barking and Dagenham 010B,1353.00 ,41.87 ,202500.00 ,6.30 ,240.00 ,43059.38 
E01000037,Barking and Dagenham 003B,1688.00 ,23.34 ,205000.00 ,12.75 ,264.00 ,52890.74 
E01000038,Barking and Dagenham 003C,1447.00 ,21.40 ,205000.00 ,6.91 ,178.00 ,46890.88 
E01000039,Barking and Dagenham 003D,1603.00 ,153.18 ,192500.00 ,7.34 ,282.00 ,45152.74 
E01000040,Barking and Dagenham 019A,1569.00 ,17.07 ,173000.00 ,10.73 ,243.00 ,32533.42 
E01000041,Barking and Dagenham 017A,1682.00 ,15.26 ,160000.00 ,11.08 ,208.00 ,33989.52 
E01000042,Barking and Dagenham 017B,1788.00 ,23.12 ,153500.00 ,14.91 ,258.00 ,30690.03 
E01000043,Barking and Dagenham 019B,1358.00 ,26.64 ,225000.00 ,11.13 ,193.00 ,33451.96 
E01000044,Barking and Dagenham 016D,1798.00 ,17.06 ,183000.00 ,9.18 ,321.00 ,35327.16 
E01000045,Barking and Dagenham 017C,1650.00 ,29.83 ,139500.00 ,10.34 ,261.00 ,34782.87 
E01000046,Barking and Dagenham 017D,1779.00 ,15.55 ,158000.00 ,10.74 ,212.00 ,32992.34 
E01000048,Barking and Dagenham 021B,1783.00 ,6.47 ,129000.00 ,18.69 ,220.00 ,24120.71 
E01000049,Barking and Dagenham 021C,1820.00 ,21.22 ,135000.00 ,17.08 ,242.00 ,27742.90 
E01000050,Barking and Dagenham 019C,1661.00 ,13.77 ,188500.00 ,11.82 ,320.00 ,32048.96 
E01000051,Barking and Dagenham 021D,1927.00 ,6.67 ,137000.00 ,17.89 ,291.00 ,23806.13 
E01000052,Barking and Dagenham 019D,2014.00 ,19.97 ,149500.00 ,8.65 ,366.00 ,32774.62 
E01000053,Barking and Dagenham 020A,1485.00 ,18.09 ,112000.00 ,11.39 ,231.00 ,31904.28 
E01000054,Barking and Dagenham 018A,1718.00 ,17.12 ,159500.00 ,10.25 ,210.00 ,34016.79 
E01000055,Barking and Dagenham 018B,1553.00 ,14.60 ,152000.00 ,11.04 ,214.00 ,34377.96 
E01000056,Barking and Dagenham 018C,1584.00 ,24.36 ,155000.00 ,11.71 ,188.00 ,32965.17 
E01000057,Barking and Dagenham 012A,1496.00 ,14.77 ,152500.00 ,9.39 ,225.00 ,33159.47 
E01000058,Barking and Dagenham 018D,1849.00 ,18.22 ,168000.00 ,8.90 ,292.00 ,34157.03 
E01000059,Barking and Dagenham 013C,1582.00 ,20.83 ,150997.50 ,10.01 ,192.00 ,32946.95 
E01000060,Barking and Dagenham 006B,1809.00 ,54.99 ,158000.00 ,12.03 ,245.00 ,32336.80 
E01000061,Barking and Dagenham 006C,1776.00 ,61.05 ,116500.00 ,18.63 ,204.00 ,24440.46 
E01000062,Barking and Dagenham 006D,1952.00 ,22.13 ,163000.00 ,12.33 ,282.00 ,34748.09 
E01000063,Barking and Dagenham 004A,1620.00 ,18.12 ,163500.00 ,11.62 ,177.00 ,32681.45 
E01000064,Barking and Dagenham 006E,1893.00 ,20.88 ,142500.00 ,9.94 ,256.00 ,32736.24 
E01000065,Barking and Dagenham 007A,1736.00 ,23.36 ,158750.00 ,11.38 ,232.00 ,31645.16 
E01000066,Barking and Dagenham 011A,1928.00 ,24.49 ,259747.50 ,7.41 ,317.00 ,43556.54 
E01000067,Barking and Dagenham 011B,1969.00 ,19.25 ,250000.00 ,8.73 ,358.00 ,47083.59 
E01000068,Barking and Dagenham 016E,1590.00 ,33.97 ,260000.00 ,6.00 ,333.00 ,50176.11 
E01000069,Barking and Dagenham 011C,1763.00 ,20.05 ,298000.00 ,4.29 ,321.00 ,55729.18 
E01000070,Barking and Dagenham 011D,1975.00 ,39.18 ,250000.00 ,8.04 ,401.00 ,52181.46 
E01000071,Barking and Dagenham 011E,2253.00 ,27.06 ,249995.00 ,7.96 ,484.00 ,46041.24 
E01000072,Barking and Dagenham 017E,1991.00 ,52.02 ,172750.00 ,11.92 ,235.00 ,29630.65 
E01000073,Barking and Dagenham 012B,1619.00 ,28.46 ,155000.00 ,10.19 ,202.00 ,33156.58 
E01000074,Barking and Dagenham 012C,1567.00 ,16.42 ,152000.00 ,9.39 ,188.00 ,32664.59 
E01000075,Barking and Dagenham 012D,1732.00 ,51.74 ,181500.00 ,9.23 ,200.00 ,34042.56 
E01000076,Barking and Dagenham 012E,1988.00 ,19.07 ,151000.00 ,10.98 ,222.00 ,31347.65 
E01000077,Barking and Dagenham 008F,1445.00 ,17.38 ,167250.00 ,11.83 ,172.00 ,31502.62 
E01000078,Barking and Dagenham 007B,1666.00 ,17.58 ,155747.50 ,12.05 ,190.00 ,30616.26 
E01000079,Barking and Dagenham 009E,1546.00 ,30.96 ,146000.00 ,10.63 ,204.00 ,32164.99 
E01000080,Barking and Dagenham 007C,1556.00 ,23.13 ,158750.00 ,13.31 ,183.00 ,31995.17 
E01000081,Barking and Dagenham 007D,1688.00 ,18.58 ,169000.00 ,8.76 ,193.00 ,33174.33 
