lsoa,names,unemployment_rate,work_popu_rate,population_density,couple_household_with_dependent_children,couple_household_without_dependent_children,lone_parent_household,one_person_household,other_multi_person_household,ethnic_white,ethnic_mixed_multiple,ethnic_asian_asian_british,ethnic_black,ethnic_other,ethnic_bame,country_of_birthc_uk,country_of_birthc_nuk,religionc_christian,religionc_buddhist,religionc_hindu,religionc_jewish,religionc_muslim,religionc_sikh,religionc_other_religion,religionc_no_religion,religionc_religion_not_stated,tenurec_owned_outright,tenurec_owned_with_a_mortgage_or_loan,tenurtc_social_rented,tenurec_private_rented,dwelling_typec_household_spaces_with_at_least_one_usual_resident,dwelling_typec_household_spaces_with_no_usual_residents,dwelling_type_detached,dwelling_type_semi_detached,dwelling_type_terraced,dwelling_type_flat,house_prices,no_qualifications,level1_qualifications,level2_qualifications,apprenticeship,level3_qualifications,level4_qualifications_and_above,other_qualifications,over_18_students,health_activities_limited,health_activities_limited_a_little,health_activities_not_limited,good_health,fair_health,bad_health,nocars,1car,2cars,3cars,4+_cars,cars_per_household,transport_accessibility,household_income
E01000907,Camden 001A,909,6709,1007,1203,2001,2101,33,1306,7305,703,805,709,208,2605,7202,2708,3903,105,7,103,805,1,6,3207,1505,1206,18,5404,1307,9905,5,202,401,1504,7803,415000,20,902,901,1,901,4402,705,604,1008,903,7909,78,1302,807,6102,33,406,101,0,5,406,30223
E01000908,Camden 001B,8,6706,1705,1106,1703,1302,5008,701,7204,807,602,8,407,2706,7005,2905,3809,103,5,207,402,0,106,2705,2303,14,1707,5206,14,9502,408,107,904,308,85,282500,15,707,1001,8,808,5004,703,408,1002,901,8007,7802,1204,904,5905,3405,503,5,2,5,209,32049
E01000909,Camden 001C,409,6603,2209,1709,2903,703,3001,1504,8401,505,406,209,209,1509,7407,2503,3707,9,4,5,202,2,1,3401,1805,3803,2102,1806,1808,9706,204,1107,2101,905,5708,435000,906,501,803,7,906,6109,407,405,701,801,8408,8506,10,405,3608,4405,1501,207,9,9,303,58469
E01000912,Camden 001D,808,6906,8906,1209,1606,1507,3806,1603,7703,506,501,902,208,2207,7004,2906,3706,8,4,103,10,0,9,3105,1704,1503,1406,5103,15,9806,104,1,108,10,8702,500000,18,903,904,101,807,4702,602,808,908,1005,7907,7702,1406,802,6006,3601,3,3,0,4,406,31551
E01000913,Camden 001E,201,6207,16107,1903,3406,307,2901,1303,8802,501,407,103,7,1108,72,28,3701,3,5,12,9,0,4,2705,2103,4701,2706,109,1904,8907,1003,2701,1203,1503,4503,1000000,409,409,906,4,904,6502,505,4,401,505,9004,8906,703,301,2203,4208,2607,6,202,102,208,73024
E01000893,Camden 002A,306,6706,5208,1608,2308,507,3903,1404,8801,405,408,1,105,1109,6305,3605,3101,106,1,701,1,0,1,3804,1808,39,2006,405,3401,9204,706,102,1405,7,7704,740000,307,204,701,7,705,7206,601,401,4,507,9003,9002,7,207,4308,4202,1106,105,8,8,302,64138
E01000894,Camden 002B,306,6407,2202,1909,3205,209,3308,11,8402,305,804,105,204,1508,59,41,3601,105,9,1106,104,4,0,2708,2004,3907,1807,402,3505,9208,702,402,1204,2806,5406,975000,3,307,605,2,705,7103,708,401,304,409,9107,9101,608,201,3806,4501,1108,306,1,8,309,72739
E01000895,Camden 002C,3,6603,908,1405,2301,601,4709,804,7908,7,8,301,201,2002,6007,3903,3906,101,1,702,205,2,1,26,2203,2302,1205,2401,37,9309,601,103,5,1703,7603,760000,905,406,6,1,804,6201,803,408,801,702,8407,8303,1105,502,5503,3705,505,104,4,5,309,53603
E01000896,Camden 002D,309,6404,1501,2008,3203,205,3401,1003,8408,406,607,202,107,1502,6107,3803,3505,7,9,904,7,0,3,30,2205,3909,1904,401,3501,9403,507,5,1203,1801,6406,922500,407,305,606,4,504,7306,508,309,309,503,9008,8908,702,3,3907,45,1204,107,102,8,404,70351
E01000899,Camden 002E,205,6204,10803,2302,3102,406,3208,802,8701,309,509,104,107,1209,6402,3508,3407,4,7,1802,9,1,5,2204,2202,4606,2202,107,2405,9107,803,805,18,2106,5102,1526896,602,501,807,4,804,6206,807,307,404,502,9004,91,605,205,2509,4503,2305,403,1,101,3,76166
E01000910,Camden 003A,309,6703,13,2001,2801,506,2904,1608,8402,7,402,209,107,1508,7705,2205,34,7,1,303,206,2,101,4006,1705,3803,2106,1605,2104,9601,309,607,1204,25,5509,509000,609,408,808,9,807,6603,305,5,404,709,8707,8809,801,3,3801,4708,1202,105,3,8,407,64961
E01000911,Camden 003B,604,6507,808,1508,2304,14,3302,1306,78,503,607,7,3,22,7304,2606,38,1,6,208,706,0,5,3104,18,2007,2206,3907,1508,9708,202,105,4,22,7204,425000,1505,608,709,105,902,5303,509,506,6,903,8407,8307,11,503,5004,4207,605,3,2,6,409,37176
E01000921,Camden 003C,408,7904,1204,1202,2202,705,4003,1709,7604,708,708,601,109,2306,6703,3207,30,101,1,106,509,0,9,3707,2207,1102,1505,21,4808,9609,301,7,207,707,8809,342495,902,602,708,6,906,61,507,707,404,602,8904,8608,901,401,7007,2507,207,7,1,4,509,35597
E01000923,Camden 003D,701,73,805,1402,2007,1004,4005,1402,7901,603,702,504,2,2009,74,26,3407,9,5,107,501,5,6,3806,1704,2206,2408,3308,1707,9806,104,8,501,3205,6107,480000,1309,509,803,2,805,5709,501,708,1009,707,8104,8008,1106,706,5308,4002,508,2,0,5,506,45322
E01000928,Camden 003E,507,6802,2503,1504,2001,1209,3403,1703,7405,602,905,607,302,2505,6903,3007,3601,8,5,208,905,1,7,3202,1704,1808,2206,3701,1906,9807,103,106,501,1805,7407,346500,1702,608,801,103,802,5006,707,506,1001,805,8104,8107,1203,6,5509,3707,509,3,3,5,507,35656
