lsoa,names,unemployment_rate,couple_household_without_dependent_children,lone_parent_household,ethnic_white,ethnic_black,ethnic_bame,tenure_owned_with_a_mortgage_or_loan,no_qualifications,good_health,bad_health
E01000907,Camden 001A,909,2001,2101,7305,709,2605,18,20,78,807
E01000908,Camden 001B,8,1703,1302,7204,8,2706,1707,15,7802,904
E01000909,Camden 001C,409,2903,703,8401,209,1509,2102,906,8506,405
E01000912,Camden 001D,808,1606,1507,7703,902,2207,1406,18,7702,802
E01000913,Camden 001E,201,3406,307,8802,103,1108,2706,409,8906,301
E01000893,Camden 002A,306,2308,507,8801,1,1109,2006,307,9002,207
E01000894,Camden 002B,306,3205,209,8402,105,1508,1807,3,9101,201
E01000895,Camden 002C,3,2301,601,7908,301,2002,1205,905,8303,502
E01000896,Camden 002D,309,3203,205,8408,202,1502,1904,407,8908,3
E01000899,Camden 002E,205,3102,406,8701,104,1209,2202,602,91,205
E01000910,Camden 003A,309,2801,506,8402,209,1508,2106,609,8809,3
E01000911,Camden 003B,604,2304,14,78,7,22,2206,1505,8307,503
E01000921,Camden 003C,408,2202,705,7604,601,2306,1505,902,8608,401
E01000923,Camden 003D,701,2007,1004,7901,504,2009,2408,1309,8008,706
E01000928,Camden 003E,507,2001,1209,7405,607,2505,2206,1702,8107,6
E01000878,Camden 004A,405,2903,8,6805,401,3105,2005,707,8706,301
E01000879,Camden 004B,405,2604,505,8004,203,1906,1906,502,9001,205
E01000880,Camden 004C,303,2107,505,7508,202,2402,2209,409,9101,108
E01000884,Camden 004D,304,2505,507,7909,202,2001,2508,409,9005,202
E01000885,Camden 004E,301,3204,509,7507,103,2403,1505,1008,8702,305
E01000871,Camden 005A,605,2508,605,7003,407,2907,2604,808,8608,308
E01000872,Camden 005B,505,2009,706,6609,704,3301,1508,1102,8605,402
E01000873,Camden 005C,402,2305,805,8103,406,1807,2506,606,8904,308
E01000874,Camden 005D,306,27,5,7506,203,2404,2803,404,91,201
E01000877,Camden 005E,502,2506,5,7901,302,2009,2304,603,8707,306
E01000886,Camden 006A,404,2204,904,8208,206,1702,2909,708,8609,402
E01000887,Camden 006B,508,2202,808,7701,207,2209,2406,10,8501,502
E01000888,Camden 006C,606,2009,906,7706,409,2204,1904,1106,8508,506
E01000892,Camden 006D,5,21,12,7404,508,2506,1707,905,84,506
E01000903,Camden 006E,609,2006,604,7401,501,2509,1605,1105,8204,6
E01000889,Camden 007A,1108,1508,2002,6009,1107,3901,1008,2604,7407,1101
E01000890,Camden 007B,1303,1407,1603,61,1406,39,6,3006,7003,13
E01000891,Camden 007C,1308,1201,2008,5607,1507,4303,8,2902,75,1101
E01000901,Camden 007D,1104,905,2303,4908,1308,5002,1101,2203,7903,703
E01000922,Camden 007E,6,1602,1102,7203,1008,2707,1302,1403,8504,407
E01000927,Camden 007F,405,2203,1201,7608,506,2302,2304,1208,8403,407
E01000881,Camden 008A,406,2206,504,6709,502,3201,1106,501,8803,305
E01000882,Camden 008B,206,2709,403,8009,104,1901,2005,302,9201,103
E01000883,Camden 008C,5,2305,404,6401,203,3509,1404,608,8901,209
E01000897,Camden 008D,303,3001,306,7905,9,2005,2009,406,9008,204
E01000898,Camden 008E,5,1804,601,5805,808,4105,804,10,8407,505
E01000866,Camden 009A,701,1803,1204,7006,901,2904,1509,1403,8003,706
E01000870,Camden 009B,704,2003,1201,7408,1003,2502,2005,1508,8009,706
E01000924,Camden 009C,5,2508,801,7807,503,2103,2005,805,8603,409
E01000925,Camden 009D,1109,1206,1806,5503,19,4407,1106,2504,7808,709
E01000926,Camden 009E,309,1608,1102,5903,706,4007,1505,1008,8604,501
E01000969,Camden 010A,309,2308,409,7405,209,2505,2103,401,9005,205
E01000970,Camden 010B,304,2307,307,8104,301,1806,2301,404,9103,208
E01000971,Camden 010C,4,2607,6,8009,109,1901,2501,8,8802,309
E01000972,Camden 010D,802,1703,1306,5609,1603,4301,603,15,8006,807
E01000973,Camden 010E,701,2101,1004,6302,1006,3608,1401,1009,8402,509
E01000842,Camden 011A,309,2507,403,81,204,19,1801,401,8907,205
E01000844,Camden 011B,301,2506,307,7505,201,2405,1904,406,8905,3
E01000848,Camden 011C,309,3001,301,7808,107,2102,2002,704,89,208
E01000849,Camden 011D,302,1803,408,76,208,24,1802,505,8803,209
E01000900,Camden 012A,808,2101,1306,7202,11,2708,1704,1901,8006,709
E01000902,Camden 012B,1006,1401,20,5301,15,4609,1002,2109,7609,709
E01000904,Camden 012C,808,1806,1606,6603,1101,3307,1302,1801,8009,702
E01000905,Camden 012D,1109,1201,2209,5201,1809,4709,701,2902,7406,10
E01000906,Camden 012E,309,2601,6,7705,403,2205,2009,702,8506,406
E01000875,Camden 013A,507,2006,1001,6705,806,3205,1703,904,8408,505
E01000876,Camden 013B,907,1904,1206,5804,1507,4106,18,1701,8001,805
E01000931,Camden 013C,1009,1608,1306,59,1504,41,1306,2005,7806,808
E01000932,Camden 013D,402,2404,807,6907,803,3003,1809,909,8304,601
E01000974,Camden 013E,706,1901,1103,61,1502,39,1603,1504,8103,701
E01000843,Camden 014A,608,2206,9,7102,7,2808,1309,803,8703,307
E01000845,Camden 014B,307,2207,507,7801,404,2109,2105,608,8706,405
E01000846,Camden 014C,905,1606,19,5807,1705,4103,1002,1803,8205,603
E01000847,Camden 014D,807,1704,1402,5903,1101,4007,1406,1308,8501,502
E01000864,Camden 015A,508,2203,1005,7306,802,2604,1908,1007,8405,503
E01000865,Camden 015B,408,2006,409,7403,306,2507,2208,505,9002,305
E01000867,Camden 015C,7,1801,1207,5903,10,4007,1109,1907,8006,702
E01000868,Camden 015D,1209,1406,1708,4706,2508,5204,804,2301,7805,803
E01000869,Camden 015E,601,2001,901,7205,809,2705,1707,1101,8407,503
E01000962,Camden 016A,404,2701,6,7407,301,2503,2306,402,9207,202
E01000964,Camden 016B,507,2202,1101,7406,503,2504,1901,8,86,402
E01000965,Camden 016C,3,25,801,7104,501,2806,2105,706,8705,305
E01000966,Camden 016D,2,2908,208,8309,9,1601,2605,406,9203,201
E01000968,Camden 016E,308,2501,409,7406,407,2504,2007,804,8702,407
E01000960,Camden 017A,607,2401,608,6102,501,3808,1502,809,8601,306
E01000961,Camden 017B,1002,1705,1706,5307,1103,4603,1303,1607,81,603
E01000963,Camden 017C,402,2305,701,5107,505,4803,12,1108,8506,406
E01000967,Camden 017D,305,2409,503,7506,308,2404,1809,1007,8704,301
E01000857,Camden 018A,3,23,606,8008,208,1902,1703,909,8304,507
E01000858,Camden 018B,907,1702,1603,5708,1409,4202,1002,2102,7805,902
E01000859,Camden 018C,4,2204,308,8609,2,1301,20,504,8902,306
E01000860,Camden 018D,405,1607,401,8209,4,1701,807,1601,7903,607
E01000862,Camden 018E,209,3103,403,82,3,18,2401,403,9009,205
E01000856,Camden 019A,1109,1707,1403,5701,1009,4209,11,1704,8102,705
E01000861,Camden 019B,704,1407,11,6905,803,3005,1602,1101,8303,504
E01000957,Camden 019C,808,22,1202,6101,1409,3809,1305,1505,8101,701
E01000958,Camden 019D,804,1501,1608,54,1205,46,901,1506,8407,505
E01000959,Camden 019E,903,1205,15,5506,1207,4404,807,2705,7501,709
E01000929,Camden 020A,1202,1403,18,5304,1604,4606,1001,2201,7803,901
E01000930,Camden 020B,903,13,909,5804,1401,4106,10,2202,7605,808
E01000933,Camden 020C,605,2204,606,73,504,27,1902,907,8406,506
E01000934,Camden 020D,1103,1401,1401,5106,1501,4804,803,2008,7509,8
E01000935,Camden 020E,1004,16,1902,5203,2208,4707,803,1806,8002,7
E01000863,Camden 021A,605,2308,709,7606,706,2304,1005,807,87,402
E01000946,Camden 021B,408,1902,909,6406,705,3504,805,1302,8506,508
E01000947,Camden 021C,709,1605,707,6307,1008,3603,1204,1305,8406,508
E01000948,Camden 021D,406,2303,805,74,708,26,1407,1407,8306,607
E01000952,Camden 022A,1001,1703,1706,5102,15,4808,803,2401,7702,906
E01000953,Camden 022B,901,1504,1308,4608,1301,5302,1102,2608,7306,1108
E01000954,Camden 022C,1304,12,2301,4401,1903,5509,304,3005,7903,801
E01000955,Camden 022D,1004,1202,1405,5105,1307,4805,308,2707,7301,902
E01000956,Camden 022E,1009,1207,14,4102,1308,5808,706,1708,8004,701
E01000944,Camden 023A,1108,1105,1501,4802,903,5108,705,1708,8403,602
E01000945,Camden 023B,608,1505,1108,4608,1006,5302,709,1103,8508,403
E01000949,Camden 023C,805,1609,1406,5908,1005,4002,305,2206,7905,502
E01000950,Camden 023D,1304,905,1708,3907,1201,6003,708,2609,7706,808
E01000951,Camden 023E,1305,1203,1404,4604,1201,5306,805,2408,7708,706
E01000936,Camden 024A,1002,1602,1805,4809,1502,5101,907,1104,8509,504
E01000938,Camden 024B,1005,13,1701,4601,1804,5309,503,1103,8504,5
E01000939,Camden 024C,1307,1206,1408,3304,1304,6606,506,2601,7807,7
E01000940,Camden 024D,1202,17,907,5103,904,4807,405,1703,8005,603
E01000853,Camden 025A,1304,1203,1104,5907,1106,4003,704,22,7207,1003
E01000937,Camden 025B,703,1305,702,5203,708,4707,802,701,8809,309
E01000941,Camden 025C,1201,1308,1603,4705,1203,5205,504,2403,74,908
E01000942,Camden 025D,403,1506,501,6004,307,3906,1006,402,8905,204
E01000943,Camden 025E,706,1306,509,6307,508,3603,1006,609,8508,403
E01000850,Camden 026A,301,2002,209,6309,403,3601,807,407,8806,308
E01000851,Camden 026B,309,1801,306,6109,5,3801,1202,309,9103,206
E01000852,Camden 026C,402,1203,307,5808,306,4102,508,605,88,302
E01000854,Camden 026D,605,1408,804,4107,1205,5803,1107,9,8605,502
E01000915,Camden 027A,1003,1803,1203,4906,902,5004,901,2201,7903,804
E01000916,Camden 027B,507,2004,1009,6206,708,3704,1504,1202,84,602
E01000917,Camden 027C,14,1108,1403,5106,1208,4804,605,1905,75,904
E01000920,Camden 027D,507,2002,801,6804,603,3106,1103,12,8407,5
E01000855,Camden 028A,405,1304,105,7105,307,2805,1408,406,8501,306
E01000914,Camden 028B,5,1802,504,6709,507,3201,1302,706,8607,405
E01000918,Camden 028C,706,1703,508,6206,602,3704,1009,1102,8202,509
E01000919,Camden 028D,407,1509,707,5609,508,4301,1104,904,8506,405
E01000001,City of London 001A,305,3006,206,8405,8,1505,2003,109,8806,2
E01000002,City of London 001B,107,3007,207,8807,3,1103,2507,203,8909,207
E01000003,City of London 001C,407,1901,6,7804,303,2106,1705,13,8007,602
E01000005,City of London 001E,807,1403,904,5104,1002,4806,407,2404,7904,703
E01032739,City of London 001F,207,2305,105,7709,9,2201,13,2,9503,6
E01032740,City of London 001G,303,2201,7,8301,202,1609,1604,107,9401,105
