LSOA11CD,LSOA11NM,Census_Population_All_Ages,Theft,theft_rate
E01000006,Barking and Dagenham 016A,1703,15,8.80798591
E01000007,Barking and Dagenham 015A,1391,99,71.1718188
E01000008,Barking and Dagenham 015B,1544,39,25.2590674
E01000009,Barking and Dagenham 016B,1773,43,24.2526791
E01000010,Barking and Dagenham 015C,2840,596,209.859155
E01000011,Barking and Dagenham 016C,1634,10,6.11995104
E01000012,Barking and Dagenham 015D,1901,6,3.15623356
E01000013,Barking and Dagenham 013A,1660,97,58.4337349
E01000014,Barking and Dagenham 013B,1656,8,4.83091787
E01000015,Barking and Dagenham 009A,2241,11,4.90852298
E01000016,Barking and Dagenham 009B,1637,20,12.217471
E01000017,Barking and Dagenham 009C,1594,9,5.64617315
E01000018,Barking and Dagenham 009D,1597,6,3.75704446
E01000019,Barking and Dagenham 023A,1407,12,8.52878465
E01000020,Barking and Dagenham 023B,1834,24,13.0861505
E01000021,Barking and Dagenham 008A,1579,17,10.7663078
E01000023,Barking and Dagenham 008C,1112,57,51.2589928
E01000024,Barking and Dagenham 008D,1336,4,2.99401198
E01000025,Barking and Dagenham 008E,1609,8,4.97203232
E01000027,Barking and Dagenham 001A,1709,18,10.5324751
E01000028,Barking and Dagenham 001B,1549,11,7.10135571
E01000029,Barking and Dagenham 001C,1602,10,6.24219725
E01000030,Barking and Dagenham 001D,1915,34,17.7545692
E01000031,Barking and Dagenham 002A,1617,14,8.65800866
E01000032,Barking and Dagenham 002B,1629,49,30.0798036
E01000033,Barking and Dagenham 006A,1361,5,3.67376929
E01000034,Barking and Dagenham 003A,1444,16,11.0803324
E01000035,Barking and Dagenham 010A,1610,36,22.3602484
E01000036,Barking and Dagenham 010B,1353,15,11.0864745
E01000037,Barking and Dagenham 003B,1688,16,9.47867299
E01000038,Barking and Dagenham 003C,1447,15,10.3662751
E01000039,Barking and Dagenham 003D,1603,6,3.74298191
E01000040,Barking and Dagenham 019A,1569,15,9.56022945
E01000041,Barking and Dagenham 017A,1682,4,2.37812128
E01000042,Barking and Dagenham 017B,1788,14,7.82997763
E01000043,Barking and Dagenham 019B,1358,12,8.8365243
E01000044,Barking and Dagenham 016D,1798,10,5.56173526
E01000045,Barking and Dagenham 017C,1650,70,42.4242424
E01000046,Barking and Dagenham 017D,1779,6,3.37268128
E01000048,Barking and Dagenham 021B,1783,3,1.68255749
E01000049,Barking and Dagenham 021C,1820,81,44.5054945
E01000050,Barking and Dagenham 019C,1661,17,10.2347983
E01000051,Barking and Dagenham 021D,1927,17,8.82200311
E01000052,Barking and Dagenham 019D,2014,25,12.4131082
E01000053,Barking and Dagenham 020A,1485,18,12.1212121
E01000054,Barking and Dagenham 018A,1718,5,2.91036088
E01000055,Barking and Dagenham 018B,1553,5,3.21957502
E01000056,Barking and Dagenham 018C,1584,39,24.6212121
E01000057,Barking and Dagenham 012A,1496,19,12.7005348
E01000058,Barking and Dagenham 018D,1849,10,5.40832883
E01000059,Barking and Dagenham 013C,1582,5,3.16055626
E01000060,Barking and Dagenham 006B,1809,89,49.1984522
E01000061,Barking and Dagenham 006C,1776,12,6.75675676
E01000062,Barking and Dagenham 006D,1952,17,8.70901639
E01000063,Barking and Dagenham 004A,1620,6,3.7037037
E01000064,Barking and Dagenham 006E,1893,20,10.5652404
E01000065,Barking and Dagenham 007A,1736,11,6.33640553
E01000066,Barking and Dagenham 011A,1928,17,8.81742739
E01000067,Barking and Dagenham 011B,1969,8,4.06297613
E01000068,Barking and Dagenham 016E,1590,13,8.17610063
E01000069,Barking and Dagenham 011C,1763,5,2.83607487
E01000070,Barking and Dagenham 011D,1975,34,17.2151899
E01000071,Barking and Dagenham 011E,2253,23,10.2086107
