Codes,Names,lntheft,oldpeoplerate,Working-agerate, Couplehouseholdwithdependentchildren,Couplehouseholdwithoutdependentchildren,Onepersonhousehold,multpersonhousehold,Goodhealth,Fairhealth,Badhealth,Nocars,car1,car2
E01000006,Barking and Dagenham 016A,2.71 ,7.81 ,69.05 ,25.60 ,21.70 ,17.90 ,24.90 ,86.10 ,9.70 ,4.20 ,34.30 ,45.90 ,16.00 
E01000007,Barking and Dagenham 015A,4.60 ,4.17 ,71.89 ,17.60 ,13.70 ,41.30 ,15.20 ,85.10 ,9.80 ,5.00 ,62.90 ,30.20 ,6.20 
E01000008,Barking and Dagenham 015B,3.66 ,2.59 ,64.90 ,19.40 ,10.60 ,24.80 ,22.50 ,86.70 ,9.60 ,3.70 ,58.50 ,33.40 ,6.50 
E01000009,Barking and Dagenham 016B,3.76 ,10.21 ,72.25 ,15.00 ,19.40 ,29.90 ,25.50 ,81.00 ,12.20 ,6.80 ,52.70 ,37.10 ,7.80 
E01000010,Barking and Dagenham 015C,6.39 ,2.96 ,74.12 ,21.00 ,22.20 ,23.40 ,20.70 ,88.60 ,8.30 ,3.10 ,74.20 ,22.60 ,3.00 
E01000011,Barking and Dagenham 016C,2.30 ,5.51 ,72.15 ,23.00 ,14.00 ,15.30 ,36.50 ,82.70 ,12.40 ,5.00 ,40.70 ,41.10 ,15.10 
E01000012,Barking and Dagenham 015D,1.79 ,2.84 ,67.23 ,24.60 ,12.20 ,23.60 ,18.60 ,88.40 ,8.20 ,3.40 ,52.90 ,40.40 ,5.90 
E01000013,Barking and Dagenham 013A,4.57 ,13.01 ,61.99 ,19.20 ,23.10 ,25.20 ,11.70 ,79.60 ,11.20 ,9.20 ,43.40 ,43.40 ,10.90 
E01000014,Barking and Dagenham 013B,2.08 ,11.41 ,64.25 ,21.60 ,23.00 ,28.20 ,9.40 ,80.10 ,13.50 ,6.30 ,35.90 ,47.50 ,13.00 
E01000015,Barking and Dagenham 009A,2.40 ,6.74 ,63.32 ,22.80 ,16.90 ,23.30 ,11.00 ,83.30 ,11.40 ,5.30 ,42.20 ,45.00 ,10.80 
E01000016,Barking and Dagenham 009B,3.00 ,11.48 ,62.80 ,20.40 ,23.20 ,28.10 ,9.70 ,82.00 ,11.50 ,6.40 ,34.80 ,47.80 ,13.30 
E01000017,Barking and Dagenham 009C,2.20 ,10.16 ,64.55 ,19.20 ,20.00 ,29.20 ,13.00 ,79.50 ,13.30 ,7.20 ,37.40 ,41.70 ,17.60 
E01000018,Barking and Dagenham 009D,1.79 ,10.77 ,62.37 ,21.20 ,19.60 ,25.80 ,10.80 ,80.40 ,13.30 ,6.30 ,36.80 ,45.40 ,14.50 
E01000019,Barking and Dagenham 023A,2.48 ,9.74 ,63.47 ,22.00 ,20.60 ,22.40 ,11.30 ,79.50 ,13.80 ,6.80 ,37.50 ,40.90 ,17.90 
E01000020,Barking and Dagenham 023B,3.18 ,12.05 ,61.94 ,25.50 ,16.60 ,29.40 ,11.50 ,79.50 ,11.90 ,8.60 ,33.50 ,46.80 ,14.90 
E01000021,Barking and Dagenham 008A,2.83 ,8.04 ,67.70 ,16.90 ,13.20 ,31.90 ,17.90 ,80.40 ,12.10 ,7.50 ,40.60 ,43.80 ,12.10 
E01000023,Barking and Dagenham 008C,4.04 ,9.98 ,69.24 ,14.40 ,20.00 ,39.80 ,12.40 ,79.90 ,13.80 ,6.30 ,39.20 ,49.80 ,9.40 
E01000024,Barking and Dagenham 008D,1.39 ,8.91 ,63.70 ,21.50 ,20.20 ,21.50 ,14.70 ,81.50 ,11.90 ,6.60 ,32.70 ,46.30 ,16.90 
E01000025,Barking and Dagenham 008E,2.08 ,10.25 ,65.44 ,21.10 ,21.50 ,25.30 ,9.20 ,79.30 ,13.10 ,7.60 ,35.50 ,47.50 ,13.70 
E01000027,Barking and Dagenham 001A,2.89 ,13.58 ,59.04 ,21.10 ,18.10 ,27.30 ,9.00 ,78.20 ,15.60 ,6.30 ,34.50 ,42.60 ,19.20 
E01000028,Barking and Dagenham 001B,2.40 ,14.20 ,58.94 ,16.30 ,15.80 ,32.20 ,10.80 ,77.20 ,13.80 ,9.00 ,43.60 ,41.20 ,13.20 
E01000029,Barking and Dagenham 001C,2.30 ,27.78 ,54.24 ,16.10 ,32.50 ,32.50 ,7.50 ,73.80 ,18.70 ,7.50 ,27.00 ,49.40 ,19.40 
E01000030,Barking and Dagenham 001D,3.53 ,10.65 ,59.11 ,18.80 ,15.70 ,28.30 ,10.00 ,78.70 ,14.60 ,6.70 ,44.90 ,41.60 ,11.20 
E01000031,Barking and Dagenham 002A,2.64 ,14.29 ,63.88 ,22.10 ,27.40 ,26.60 ,10.70 ,80.60 ,14.40 ,4.90 ,25.60 ,44.00 ,22.60 
E01000032,Barking and Dagenham 002B,3.89 ,14.24 ,64.15 ,19.30 ,24.60 ,28.70 ,11.60 ,79.20 ,14.20 ,6.60 ,29.60 ,47.90 ,17.40 
E01000033,Barking and Dagenham 006A,1.61 ,11.39 ,61.94 ,22.50 ,18.20 ,29.60 ,8.80 ,78.80 ,14.70 ,6.50 ,38.30 ,47.30 ,12.00 
E01000034,Barking and Dagenham 003A,2.77 ,19.18 ,59.07 ,18.00 ,25.00 ,27.50 ,9.90 ,73.10 ,17.50 ,9.40 ,31.10 ,48.40 ,16.20 
E01000035,Barking and Dagenham 010A,3.58 ,13.98 ,62.86 ,21.70 ,24.90 ,26.60 ,9.90 ,80.10 ,13.20 ,6.80 ,29.30 ,52.40 ,13.40 
E01000036,Barking and Dagenham 010B,2.71 ,11.16 ,66.67 ,23.70 ,28.10 ,20.90 ,16.60 ,84.40 ,12.30 ,3.30 ,25.40 ,48.20 ,19.40 
E01000037,Barking and Dagenham 003B,2.77 ,12.91 ,71.45 ,25.00 ,36.40 ,22.30 ,7.10 ,84.20 ,11.30 ,4.50 ,14.50 ,45.90 ,28.50 
E01000038,Barking and Dagenham 003C,2.71 ,18.66 ,61.30 ,24.00 ,29.70 ,27.20 ,7.10 ,79.80 ,14.60 ,5.60 ,26.60 ,43.70 ,22.00 
E01000039,Barking and Dagenham 003D,1.79 ,15.41 ,64.13 ,20.50 ,30.30 ,28.10 ,6.10 ,81.80 ,12.90 ,5.30 ,24.40 ,49.00 ,21.50 
E01000040,Barking and Dagenham 019A,2.71 ,11.15 ,64.88 ,17.70 ,20.50 ,29.40 ,12.30 ,76.40 ,15.90 ,7.80 ,47.30 ,39.50 ,11.10 
E01000041,Barking and Dagenham 017A,1.39 ,8.74 ,63.56 ,23.10 ,23.40 ,24.50 ,11.00 ,83.20 ,11.00 ,5.80 ,32.50 ,46.80 ,15.70 
E01000042,Barking and Dagenham 017B,2.64 ,8.17 ,62.86 ,19.10 ,14.10 ,31.50 ,12.80 ,80.40 ,12.60 ,7.00 ,54.50 ,34.60 ,9.60 
E01000043,Barking and Dagenham 019B,2.48 ,13.11 ,60.97 ,22.10 ,20.00 ,25.40 ,17.40 ,79.00 ,13.60 ,7.40 ,36.70 ,43.80 ,15.40 
E01000044,Barking and Dagenham 016D,2.30 ,8.95 ,65.46 ,22.30 ,19.40 ,24.20 ,20.80 ,81.20 ,12.80 ,6.00 ,41.30 ,43.70 ,10.80 
E01000045,Barking and Dagenham 017C,4.25 ,8.42 ,63.94 ,21.60 ,15.80 ,22.40 ,16.90 ,80.70 ,13.60 ,5.70 ,41.40 ,44.90 ,9.60 
E01000046,Barking and Dagenham 017D,1.79 ,9.11 ,62.73 ,24.50 ,22.50 ,22.20 ,9.30 ,80.70 ,13.60 ,5.70 ,38.50 ,41.90 ,15.90 
E01000048,Barking and Dagenham 021B,1.10 ,4.04 ,59.28 ,24.10 ,8.70 ,29.80 ,11.00 ,84.50 ,9.10 ,6.30 ,60.20 ,34.20 ,5.30 
E01000049,Barking and Dagenham 021C,4.39 ,6.59 ,57.75 ,23.50 ,11.80 ,26.00 ,13.20 ,83.00 ,11.80 ,5.20 ,54.00 ,40.00 ,5.10 
E01000050,Barking and Dagenham 019C,2.83 ,11.50 ,61.65 ,17.90 ,16.40 ,31.20 ,16.30 ,78.50 ,14.00 ,7.50 ,47.60 ,42.90 ,8.10 
E01000051,Barking and Dagenham 021D,2.83 ,2.54 ,63.36 ,18.80 ,9.90 ,32.40 ,13.40 ,82.00 ,12.30 ,5.70 ,60.70 ,35.00 ,3.70 
E01000052,Barking and Dagenham 019D,3.22 ,9.93 ,63.85 ,18.30 ,16.00 ,29.60 ,16.50 ,80.00 ,13.40 ,6.60 ,43.70 ,45.40 ,9.50 
E01000053,Barking and Dagenham 020A,2.89 ,10.71 ,64.65 ,16.30 ,19.50 ,37.40 ,10.50 ,77.30 ,14.30 ,8.40 ,45.70 ,41.70 ,10.20 
E01000054,Barking and Dagenham 018A,1.61 ,11.58 ,62.05 ,22.70 ,25.50 ,23.40 ,10.20 ,79.70 ,13.70 ,6.60 ,32.90 ,47.50 ,17.40 
E01000055,Barking and Dagenham 018B,1.61 ,8.95 ,65.81 ,24.10 ,23.80 ,23.00 ,10.20 ,81.10 ,13.30 ,5.50 ,33.90 ,47.10 ,14.30 
