Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,Employment Rate,Unemployment Rate,Economically_active_rate,Economically_inactive_rate,lntheft
E01000006,Barking and Dagenham 016A,7.81,69.05,25.6,21.7,17.9,24.9,86.1,9.7,4.2,34.3,45.9,16,18.2,11.8,12.9,1.5,8.8,32.9,13.8,58.6,9.5,51.32,22.14,2.18
E01000007,Barking and Dagenham 015A,4.17,71.89,17.6,13.7,41.3,15.2,85.1,9.8,5,62.9,30.2,6.2,15.2,13.7,12.4,0.7,9.1,32.3,16.6,53,11.9,52.55,21.78,4.27
E01000008,Barking and Dagenham 015B,2.59,64.9,19.4,10.6,24.8,22.5,86.7,9.6,3.7,58.5,33.4,6.5,21.1,14.9,13.1,1.2,8.4,24.2,17.2,46.9,18,45.08,21.18,3.23
E01000009,Barking and Dagenham 016B,10.21,72.25,15,19.4,29.9,25.5,81,12.2,6.8,52.7,37.1,7.8,18.6,10.2,9.4,0.8,8.8,35,17.2,50.9,10,51.1,26.57,3.19
E01000011,Barking and Dagenham 016C,5.51,72.15,23,14,15.3,36.5,82.7,12.4,5,40.7,41.1,15.1,18,12.4,13.3,1,8.4,29.6,17.3,49.2,10.2,50.18,25.64,1.81
E01000012,Barking and Dagenham 015D,2.84,67.23,24.6,12.2,23.6,18.6,88.4,8.2,3.4,52.9,40.4,5.9,14.4,12.2,11.9,1.3,9.1,33.1,18,53.9,10.7,46.82,22.83,1.15
E01000013,Barking and Dagenham 013A,13.01,61.99,19.2,23.1,25.2,11.7,79.6,11.2,9.2,43.4,43.4,10.9,33.5,14.1,15.6,1.4,9.2,16.9,9.2,56.5,10.1,45.78,22.53,4.07
E01000014,Barking and Dagenham 013B,11.41,64.25,21.6,23,28.2,9.4,80.1,13.5,6.3,35.9,47.5,13,31.4,17.6,15.4,1.8,8.8,14.3,10.8,57.4,11.4,48.19,22.46,1.58
E01000015,Barking and Dagenham 009A,6.74,63.32,22.8,16.9,23.3,11,83.3,11.4,5.3,42.2,45,10.8,26,17.8,16.8,1.9,9.9,17.8,9.9,56.1,11.7,45.83,20.79,1.59
E01000016,Barking and Dagenham 009B,11.48,62.8,20.4,23.2,28.1,9.7,82,11.5,6.4,34.8,47.8,13.3,34.6,17.4,16,2.1,8.6,14.5,6.7,57.9,9.1,46.49,21.93,2.5
E01000017,Barking and Dagenham 009C,10.16,64.55,19.2,20,29.2,13,79.5,13.3,7.2,37.4,41.7,17.6,31.3,14,13.7,1.8,10.7,19.7,8.7,55.1,8.8,44.86,24.65,1.73
E01000018,Barking and Dagenham 009D,10.77,62.37,21.2,19.6,25.8,10.8,80.4,13.3,6.3,36.8,45.4,14.5,32,16.4,16.7,1.9,8.7,16.9,7.4,57.1,10.4,46.15,21.79,1.32
E01000019,Barking and Dagenham 023A,9.74,63.47,22,20.6,22.4,11.3,79.5,13.8,6.8,37.5,40.9,17.9,28.7,15.3,16.5,2.1,8.1,20.1,9.1,54.3,13.4,46.62,22.32,2.14
E01000020,Barking and Dagenham 023B,12.05,61.94,25.5,16.6,29.4,11.5,79.5,11.9,8.6,33.5,46.8,14.9,29.6,14.7,14.8,2.7,9.6,20.6,8,55.1,11.4,45.53,21.32,2.57
E01000021,Barking and Dagenham 008A,8.04,67.7,16.9,13.2,31.9,17.9,80.4,12.1,7.5,40.6,43.8,12.1,25.7,17.1,14.7,1.5,8.1,22.4,10.5,49.8,13.2,47.06,25.21,2.38
E01000023,Barking and Dagenham 008C,9.98,69.24,14.4,20,39.8,12.4,79.9,13.8,6.3,39.2,49.8,9.4,27.6,10.8,14.2,1.4,8.2,28.7,9.2,60.8,11.1,54.05,20.14,3.94
E01000024,Barking and Dagenham 008D,8.91,63.7,21.5,20.2,21.5,14.7,81.5,11.9,6.6,32.7,46.3,16.9,28.8,17.4,14.2,2.2,9.4,17.9,10.1,55.7,9.2,44.99,23.28,1.1
E01000025,Barking and Dagenham 008E,10.25,65.44,21.1,21.5,25.3,9.2,79.3,13.1,7.6,35.5,47.5,13.7,32.5,14.5,16.4,1.6,9.5,16.1,9.4,57.7,10.7,48.35,22.44,1.6
E01000027,Barking and Dagenham 001A,13.58,59.04,21.1,18.1,27.3,9,78.2,15.6,6.3,34.5,42.6,19.2,34.6,18,14.7,2.4,9.1,14.3,6.9,56.4,11.3,42.42,21.24,2.35
E01000028,Barking and Dagenham 001B,14.2,58.94,16.3,15.8,32.2,10.8,77.2,13.8,9,43.6,41.2,13.2,31.1,14.7,15.2,1.6,9.5,20.5,7.5,50.1,14.2,40.93,23.31,1.96
E01000029,Barking and Dagenham 001C,27.78,54.24,16.1,32.5,32.5,7.5,73.8,18.7,7.5,27,49.4,19.4,33.3,12.7,12.4,3.5,9.4,20.7,7.9,58,7.4,43.57,23.1,1.83
E01000030,Barking and Dagenham 001D,10.65,59.11,18.8,15.7,28.3,10,78.7,14.6,6.7,44.9,41.6,11.2,30.2,17.4,14.1,1.8,10,17.4,9,53.6,14.1,41.25,21.88,2.88
E01000031,Barking and Dagenham 002A,14.29,63.88,22.1,27.4,26.6,10.7,80.6,14.4,4.9,25.6,44,22.6,19.6,16.5,16.6,2.2,10.4,24.9,9.7,60.6,8.1,49.41,22.14,2.16
E01000032,Barking and Dagenham 002B,14.24,64.15,19.3,24.6,28.7,11.6,79.2,14.2,6.6,29.6,47.9,17.4,26,16.3,16.4,1.9,11.4,19.2,8.8,59.9,10,49.72,21.3,3.4
E01000033,Barking and Dagenham 006A,11.39,61.94,22.5,18.2,29.6,8.8,78.8,14.7,6.5,38.3,47.3,12,35.5,15.5,17.9,2.4,8.8,14.2,5.6,53.8,13.2,44.53,23,1.3
E01000034,Barking and Dagenham 003A,19.18,59.07,18,25,27.5,9.9,73.1,17.5,9.4,31.1,48.4,16.2,38.5,15,15.5,2.1,7.5,14.8,6.5,56.9,8.7,42.8,22.58,2.41
E01000035,Barking and Dagenham 010A,13.98,62.86,21.7,24.9,26.6,9.9,80.1,13.2,6.8,29.3,52.4,13.4,28.6,16.1,16.2,1.8,7.9,20.9,8.5,57.8,9.2,47.95,21.55,3.11
E01000036,Barking and Dagenham 010B,11.16,66.67,23.7,28.1,20.9,16.6,84.4,12.3,3.3,25.4,48.2,19.4,25.5,16.4,15.2,2.5,10,22.8,7.7,63,6.3,51.59,20.84,2.41
E01000037,Barking and Dagenham 003B,12.91,71.45,25,36.4,22.3,7.1,84.2,11.3,4.5,14.5,45.9,28.5,22.5,17.8,19.2,3.9,13.4,18.5,4.6,64.3,12.8,61.79,16.94,2.25
E01000038,Barking and Dagenham 003C,18.66,61.3,24,29.7,27.2,7.1,79.8,14.6,5.6,26.6,43.7,22,32.7,15.8,16.2,4,10.8,15.4,5.1,60.9,6.9,49,21.56,2.34
E01000039,Barking and Dagenham 003D,15.41,64.13,20.5,30.3,28.1,6.1,81.8,12.9,5.3,24.4,49,21.5,28.9,15.2,14.8,2.9,10.8,22.1,5.3,64.5,7.3,50.97,20.4,1.32
E01000040,Barking and Dagenham 019A,11.15,64.88,17.7,20.5,29.4,12.3,76.4,15.9,7.8,47.3,39.5,11.1,30.9,14.8,14.3,2.2,7.9,20.4,9.6,54.4,10.7,46.34,23.52,2.26
E01000041,Barking and Dagenham 017A,8.74,63.56,23.1,23.4,24.5,11,83.2,11,5.8,32.5,46.8,15.7,31.7,17.4,14.3,1.8,7.6,17.1,10,57.7,11.1,46.14,22.24,0.87
E01000042,Barking and Dagenham 017B,8.17,62.86,19.1,14.1,31.5,12.8,80.4,12.6,7,54.5,34.6,9.6,30.2,15.4,14.1,1.6,8,20.3,10.6,48.5,14.9,40.88,25.62,2.06
E01000043,Barking and Dagenham 019B,13.11,60.97,22.1,20,25.4,17.4,79,13.6,7.4,36.7,43.8,15.4,31.8,14,12.1,1.8,10,19.2,11,53.7,11.1,43.67,23.56,2.18
E01000044,Barking and Dagenham 016D,8.95,65.46,22.3,19.4,24.2,20.8,81.2,12.8,6,41.3,43.7,10.8,22.6,14.9,13,2.2,7.8,24,15.6,58.1,9.2,48.44,21.25,1.72
E01000045,Barking and Dagenham 017C,8.42,63.94,21.6,15.8,22.4,16.9,80.7,13.6,5.7,41.4,44.9,9.6,26,15.7,15.4,1.6,9.8,21.9,9.6,57.2,10.3,45.7,22.79,3.75
E01000046,Barking and Dagenham 017D,9.11,62.73,24.5,22.5,22.2,9.3,80.7,13.6,5.7,38.5,41.9,15.9,30,17.7,14.1,2,11.3,16.6,8.3,59.8,10.7,47.11,19.67,1.22
E01000048,Barking and Dagenham 021B,4.04,59.28,24.1,8.7,29.8,11,84.5,9.1,6.3,60.2,34.2,5.3,28.5,14.3,14.8,1.3,7.4,19.5,14.2,44.2,18.7,37.8,23.67,0.52
E01000049,Barking and Dagenham 021C,6.59,57.75,23.5,11.8,26,13.2,83,11.8,5.2,54,40,5.1,29.2,12.4,13.8,1,10.7,20.7,12.2,47,17.1,40.22,20.88,3.8
