Codes,Names,over65,Workingage,Couple_househol_ with_dependent_children,Couple_household_without_dependent_children,One_person_household,Other_multi_person_household,Good_health,Fair_health,Bad_health,No_cars,car1,car2,No_qualifications,Level_1_qualifications,Level_2_qualifications, Apprenticeship,Level_3_qualifications,Level_4_qualifications_and_above,Other_qualifications,lntheft
E01000006,Barking and Dagenham 016A,7.8097475,69.0546095,25.6,21.7,17.9,24.9,86.1,9.7,4.2,34.3,45.9,16,18.2,11.8,12.9,1.5,8.8,32.9,13.8,2.1756588
E01000007,Barking and Dagenham 015A,4.16966211,71.8907261,17.6,13.7,41.3,15.2,85.1,9.8,5,62.9,30.2,6.2,15.2,13.7,12.4,0.7,9.1,32.3,16.6,4.26509694
E01000008,Barking and Dagenham 015B,2.59067358,64.8963731,19.4,10.6,24.8,22.5,86.7,9.6,3.7,58.5,33.4,6.5,21.1,14.9,13.1,1.2,8.4,24.2,17.2,3.22918519
E01000009,Barking and Dagenham 016B,10.2086858,72.250423,15,19.4,29.9,25.5,81,12.2,6.8,52.7,37.1,7.8,18.6,10.2,9.4,0.8,8.8,35,17.2,3.18852709
E01000011,Barking and Dagenham 016C,5.50795594,72.1542228,23,14,15.3,36.5,82.7,12.4,5,40.7,41.1,15.1,18,12.4,13.3,1,8.4,29.6,17.3,1.8115541
E01000012,Barking and Dagenham 015D,2.84061021,67.2277749,24.6,12.2,23.6,18.6,88.4,8.2,3.4,52.9,40.4,5.9,14.4,12.2,11.9,1.3,9.1,33.1,18,1.14937941
E01000013,Barking and Dagenham 013A,13.0120482,61.9879518,19.2,23.1,25.2,11.7,79.6,11.2,9.2,43.4,43.4,10.9,33.5,14.1,15.6,1.4,9.2,16.9,9.2,4.06789338
E01000014,Barking and Dagenham 013B,11.4130435,64.2512077,21.6,23,28.2,9.4,80.1,13.5,6.3,35.9,47.5,13,31.4,17.6,15.4,1.8,8.8,14.3,10.8,1.57503649
E01000015,Barking and Dagenham 009A,6.73806336,63.3199465,22.8,16.9,23.3,11,83.3,11.4,5.3,42.2,45,10.8,26,17.8,16.8,1.9,9.9,17.8,9.9,1.59097308
E01000016,Barking and Dagenham 009B,11.4844227,62.7978009,20.4,23.2,28.1,9.7,82,11.5,6.4,34.8,47.8,13.3,34.6,17.4,16,2.1,8.6,14.5,6.7,2.50286698
E01000017,Barking and Dagenham 009C,10.1631117,64.5545797,19.2,20,29.2,13,79.5,13.3,7.2,37.4,41.7,17.6,31.3,14,13.7,1.8,10.7,19.7,8.7,1.730978
E01000018,Barking and Dagenham 009D,10.7701941,62.366938,21.2,19.6,25.8,10.8,80.4,13.3,6.3,36.8,45.4,14.5,32,16.4,16.7,1.9,8.7,16.9,7.4,1.3236326
E01000019,Barking and Dagenham 023A,9.73702914,63.4683724,22,20.6,22.4,11.3,79.5,13.8,6.8,37.5,40.9,17.9,28.7,15.3,16.5,2.1,8.1,20.1,9.1,2.14344687
E01000020,Barking and Dagenham 023B,12.0501636,61.9411123,25.5,16.6,29.4,11.5,79.5,11.9,8.6,33.5,46.8,14.9,29.6,14.7,14.8,2.7,9.6,20.6,8,2.57155446
E01000021,Barking and Dagenham 008A,8.04306523,67.7010766,16.9,13.2,31.9,17.9,80.4,12.1,7.5,40.6,43.8,12.1,25.7,17.1,14.7,1.5,8.1,22.4,10.5,2.37642161
E01000023,Barking and Dagenham 008C,9.98201439,69.2446043,14.4,20,39.8,12.4,79.9,13.8,6.3,39.2,49.8,9.4,27.6,10.8,14.2,1.4,8.2,28.7,9.2,3.93689107
E01000024,Barking and Dagenham 008D,8.90718563,63.6976048,21.5,20.2,21.5,14.7,81.5,11.9,6.6,32.7,46.3,16.9,28.8,17.4,14.2,2.2,9.4,17.9,10.1,1.09661429
E01000025,Barking and Dagenham 008E,10.2548167,65.4443754,21.1,21.5,25.3,9.2,79.3,13.1,7.6,35.5,47.5,13.7,32.5,14.5,16.4,1.6,9.5,16.1,9.4,1.60382867
E01000027,Barking and Dagenham 001A,13.5751902,59.0403745,21.1,18.1,27.3,9,78.2,15.6,6.3,34.5,42.6,19.2,34.6,18,14.7,2.4,9.1,14.3,6.9,2.35446335
E01000028,Barking and Dagenham 001B,14.2027114,58.9412524,16.3,15.8,32.2,10.8,77.2,13.8,9,43.6,41.2,13.2,31.1,14.7,15.2,1.6,9.5,20.5,7.5,1.96028571
E01000029,Barking and Dagenham 001C,27.7777778,54.2446941,16.1,32.5,32.5,7.5,73.8,18.7,7.5,27,49.4,19.4,33.3,12.7,12.4,3.5,9.4,20.7,7.9,1.83133224
E01000030,Barking and Dagenham 001D,10.6527415,59.1122715,18.8,15.7,28.3,10,78.7,14.6,6.7,44.9,41.6,11.2,30.2,17.4,14.1,1.8,10,17.4,9,2.8766429
E01000031,Barking and Dagenham 002A,14.2857143,63.8837353,22.1,27.4,26.6,10.7,80.6,14.4,4.9,25.6,44,22.6,19.6,16.5,16.6,2.2,10.4,24.9,9.7,2.15848475
E01000032,Barking and Dagenham 002B,14.2418662,64.1497851,19.3,24.6,28.7,11.6,79.2,14.2,6.6,29.6,47.9,17.4,26,16.3,16.4,1.9,11.4,19.2,8.8,3.40385397
E01000033,Barking and Dagenham 006A,11.3886848,61.9397502,22.5,18.2,29.6,8.8,78.8,14.7,6.5,38.3,47.3,12,35.5,15.5,17.9,2.4,8.8,14.2,5.6,1.30121819
E01000034,Barking and Dagenham 003A,19.1828255,59.0720222,18,25,27.5,9.9,73.1,17.5,9.4,31.1,48.4,16.2,38.5,15,15.5,2.1,7.5,14.8,6.5,2.40517168
E01000035,Barking and Dagenham 010A,13.9751553,62.8571429,21.7,24.9,26.6,9.9,80.1,13.2,6.8,29.3,52.4,13.4,28.6,16.1,16.2,1.8,7.9,20.9,8.5,3.10728476
E01000036,Barking and Dagenham 010B,11.1603843,66.6666667,23.7,28.1,20.9,16.6,84.4,12.3,3.3,25.4,48.2,19.4,25.5,16.4,15.2,2.5,10,22.8,7.7,2.40572585
E01000037,Barking and Dagenham 003B,12.9146919,71.4454976,25,36.4,22.3,7.1,84.2,11.3,4.5,14.5,45.9,28.5,22.5,17.8,19.2,3.9,13.4,18.5,4.6,2.24904433
E01000038,Barking and Dagenham 003C,18.6592951,61.2992398,24,29.7,27.2,7.1,79.8,14.6,5.6,26.6,43.7,22,32.7,15.8,16.2,4,10.8,15.4,5.1,2.33855775
E01000039,Barking and Dagenham 003D,15.4086089,64.1297567,20.5,30.3,28.1,6.1,81.8,12.9,5.3,24.4,49,21.5,28.9,15.2,14.8,2.9,10.8,22.1,5.3,1.3198826
E01000040,Barking and Dagenham 019A,11.153601,64.8820905,17.7,20.5,29.4,12.3,76.4,15.9,7.8,47.3,39.5,11.1,30.9,14.8,14.3,2.2,7.9,20.4,9.6,2.25761173
E01000041,Barking and Dagenham 017A,8.73959572,63.5552913,23.1,23.4,24.5,11,83.2,11,5.8,32.5,46.8,15.7,31.7,17.4,14.3,1.8,7.6,17.1,10,0.8663108
E01000042,Barking and Dagenham 017B,8.1655481,62.8635347,19.1,14.1,31.5,12.8,80.4,12.6,7,54.5,34.6,9.6,30.2,15.4,14.1,1.6,8,20.3,10.6,2.05795965
E01000043,Barking and Dagenham 019B,13.107511,60.9720177,22.1,20,25.4,17.4,79,13.6,7.4,36.7,43.8,15.4,31.8,14,12.1,1.8,10,19.2,11,2.17889362
E01000044,Barking and Dagenham 016D,8.95439377,65.461624,22.3,19.4,24.2,20.8,81.2,12.8,6,41.3,43.7,10.8,22.6,14.9,13,2.2,7.8,24,15.6,1.71591016
E01000045,Barking and Dagenham 017C,8.42424242,63.9393939,21.6,15.8,22.4,16.9,80.7,13.6,5.7,41.4,44.9,9.6,26,15.7,15.4,1.6,9.8,21.9,9.6,3.74771995
E01000046,Barking and Dagenham 017D,9.10623946,62.7318718,24.5,22.5,22.2,9.3,80.7,13.6,5.7,38.5,41.9,15.9,30,17.7,14.1,2,11.3,16.6,8.3,1.21570806
E01000048,Barking and Dagenham 021B,4.03813797,59.2821088,24.1,8.7,29.8,11,84.5,9.1,6.3,60.2,34.2,5.3,28.5,14.3,14.8,1.3,7.4,19.5,14.2,0.52031495
E01000049,Barking and Dagenham 021C,6.59340659,57.7472527,23.5,11.8,26,13.2,83,11.8,5.2,54,40,5.1,29.2,12.4,13.8,1,10.7,20.7,12.2,3.79561265
E01000050,Barking and Dagenham 019C,11.4990969,61.6496087,17.9,16.4,31.2,16.3,78.5,14,7.5,47.6,42.9,8.1,28,10,11.6,1.7,9.1,26.3,13.3,2.32579351
E01000051,Barking and Dagenham 021D,2.54281266,63.36274,18.8,9.9,32.4,13.4,82,12.3,5.7,60.7,35,3.7,26.5,12.9,14.8,1.2,9.2,22.9,12.5,2.17724895
E01000052,Barking and Dagenham 019D,9.93048659,63.8530288,18.3,16,29.6,16.5,80,13.4,6.6,43.7,45.4,9.5,25.6,13.1,11.6,1.6,9.9,24.6,13.5,2.51875303
E01000053,Barking and Dagenham 020A,10.7070707,64.6464646,16.3,19.5,37.4,10.5,77.3,14.3,8.4,45.7,41.7,10.2,28.8,17.7,13.4,1.8,7.5,20.6,10.2,2.49495699
E01000054,Barking and Dagenham 018A,11.5832363,62.0488941,22.7,25.5,23.4,10.2,79.7,13.7,6.6,32.9,47.5,17.4,33.6,14.3,18.5,1.7,7.7,16.6,7.5,1.06827709
E01000055,Barking and Dagenham 018B,8.95041854,65.8081133,24.1,23.8,23,10.2,81.1,13.3,5.5,33.9,47.1,14.3,27.6,17.5,16.4,2.3,8.6,18.4,9.1,1.16924937
E01000056,Barking and Dagenham 018C,10.1010101,61.6161616,25.7,18.7,23.2,8,79.9,14.2,5.9,34.6,47.1,15.7,32.2,15.1,16.6,2,8.8,16.5,8.6,3.20360835
E01000057,Barking and Dagenham 012A,9.15775401,61.631016,20.5,18.1,22.5,13.4,81.3,12.8,5.9,37.6,49,10.8,26.8,16.4,14.5,2.6,8.9,21.2,9.4,2.5416441
E01000058,Barking and Dagenham 018D,8.22065982,65.4407788,19,19,27.2,15.8,82.5,11.7,5.8,36.8,48.8,11.9,27,15.3,15.4,2.1,8.9,21.4,9.8,1.68794014
