FID,LSOA11CD,LSOA11NM,area,Census_Population_All_Ages,Population_Density,,house_price,Unemployment_Rate,qualification4,Mean_Household_Income,sumarea,agvarea,lnavgarea,count,greenratio,greenratio_sta,greratepre,Arson_and_Criminal_Damage,Burglary,Drug_Offences,Miscellaneous_Crimes_Against_Society,Possession_of_Weapons,Public_Order_Offences,Robbery,Theft,Vehicle_Offences,Vehicle_rate,vechicle_sta,Violence_Against_the_Person,总计,sumrate,分组,14.0773702
5,E01000007,Barking and Dagenham 015A,198134.8092,1391,20,,212000,11.9,342,30821.83,17320.7981,5773.599367,8.661050972,3,8.741925847,-0.257380664,12.45204752,25,10,38,3,7,32,28,99,21,15.09705248,0.105209786,122,385,276.7792955,1,9.691895782
6,E01000008,Barking and Dagenham 015B,193425.0989,1544,19.51,,140000,17.96,252,28358.78,13627.6521,4542.5507,8.421243961,3,7.045441452,-0.367068802,8.826199547,14,10,18,4,2,9,9,39,33,21.37305699,0.752761582,63,201,130.1813472,1,
7,E01000009,Barking and Dagenham 016B,128591.5262,1773,12.79,,226500,10.04,511,38261.38,356.6787,356.6787,5.876835377,1,0.277373409,-0.804665976,0.20117242,24,14,9,2,2,15,14,43,30,16.92047377,0.29334855,94,247,139.3119007,1,12.72268703
8,E01000010,Barking and Dagenham 015C,348848.3422,2840,35.21,,151475,9.65,982,37276.77,57593.0074,9598.834567,9.169396971,6,16.50946857,0.244838688,20.27922796,78,42,92,16,13,67,95,596,37,13.02816901,-0.108255516,262,1298,457.0422535,1,15.4664345
9,E01000011,Barking and Dagenham 016C,90297.6798,1634,9.17,,214000,10.24,375,33132.74,9759.6526,4879.8263,8.492864904,2,10.80830938,-0.123776275,5.972859608,8,12,7,1,0,2,6,10,8,4.895960832,-0.947328528,47,101,61.81150551,1,
10,E01000012,Barking and Dagenham 015D,140353.4493,1901,13.9,,170000,10.67,441,32616.73,89.3787,89.3787,4.492882399,1,0.063681157,-0.818482493,0.047016675,16,10,13,0,1,7,14,6,23,12.09889532,-0.204137036,59,149,78.37980011,1,
11,E01000013,Barking and Dagenham 013A,208625.8606,1660,20.78,,161000,10.13,211,32741.97,194.2449,194.2449,5.269119734,1,0.093106818,-0.816579944,0.117015,18,18,20,6,10,18,17,97,39,23.4939759,0.971595849,74,317,190.9638554,1,
12,E01000014,Barking and Dagenham 013B,340176.8217,1656,34.12,,160000,11.4,179,32307.84,180413.3659,180413.3659,12.10300597,1,53.035173,2.606449855,108.9452693,13,10,2,1,1,7,3,8,26,15.70048309,0.167471146,45,116,70.04830918,1,
13,E01000015,Barking and Dagenham 009A,279995.8676,2241,28.06,,150000,11.68,279,31524.5,52325.3214,52325.3214,10.86523569,1,18.68789059,0.385687054,23.34909478,15,15,5,2,1,4,5,11,22,9.817045962,-0.439575944,44,124,55.33244087,1,
17,E01000019,Barking and Dagenham 023A,181817.813,1407,18.4,,170000,13.41,207,33769.65,137.0916,137.0916,4.920649316,1,0.075400533,-0.817724764,0.097435394,14,15,1,1,0,8,3,12,14,9.950248756,-0.425832214,26,94,66.80881308,1,
19,E01000021,Barking and Dagenham 008A,171351.203,1579,16.93,,160000,13.19,268,30889.85,671.9444,335.9722,5.817028418,2,0.392144548,-0.797245317,0.425550602,14,13,6,3,2,8,4,17,26,16.4661178,0.24646856,37,130,82.33058898,1,
21,E01000023,Barking and Dagenham 008C,213389.4359,1112,20.72,,179995,11.15,253,33985.84,9218.8177,3072.939233,8.030389787,3,4.320184672,-0.543273394,8.290303687,25,23,30,7,8,22,21,57,36,32.37410072,1.887838142,108,337,303.057554,1,
23,E01000025,Barking and Dagenham 008E,150578.1148,1609,15.34,,160500,10.67,196,34076.04,3120.0051,3120.0051,8.045589915,1,2.07201764,-0.688631203,1.939095774,14,12,2,1,0,7,3,8,21,13.05158484,-0.105839496,40,108,67.1224363,1,
24,E01000027,Barking and Dagenham 001A,1481937.098,1709,147.45,,182500,11.31,178,31995.11,85898.7225,28632.9075,10.26231195,3,5.796381145,-0.447828223,50.26256437,21,15,3,5,0,10,10,18,38,22.23522528,0.841719233,68,188,110.0058514,1,
